Year,Sexe,GeoCode,Value
2009,,,37391
2010,,,38269
2011,,,38884
2012,,,39346
2013,,,40077
2014,,,40770
2015,,,41301
2016,,,41953
2017,,,42570
2018,,,43140
2019,,,43644
2020,,,44303
2021,,,45352
2009,Homes,,7863
2010,Homes,,8044
2011,Homes,,8276
2012,Homes,,8460
2013,Homes,,8733
2014,Homes,,8985
2015,Homes,,9296
2016,Homes,,9630
2017,Homes,,9973
2018,Homes,,10290
2019,Homes,,10536
2020,Homes,,10773
2021,Homes,,11176
2009,Dones,,29528
2010,Dones,,30225
2011,Dones,,30608
2012,Dones,,30886
2013,Dones,,31344
2014,Dones,,31785
2015,Dones,,32005
2016,Dones,,32323
2017,Dones,,32597
2018,Dones,,32850
2019,Dones,,33108
2020,Dones,,33530
2021,Dones,,34176
2009,,1.0,1710
2010,,1.0,1696
2011,,1.0,1704
2012,,1.0,1691
2013,,1.0,1697
2014,,1.0,1721
2015,,1.0,1762
2016,,1.0,1805
2017,,1.0,1791
2018,,1.0,1839
2019,,1.0,1858
2020,,1.0,1881
2021,,1.0,1865
2009,,2.0,2922
2010,,2.0,2937
2011,,2.0,2975
2012,,2.0,3016
2013,,2.0,3050
2014,,2.0,3072
2015,,2.0,3070
2016,,2.0,3044
2017,,2.0,3042
2018,,2.0,3061
2019,,2.0,3021
2020,,2.0,3062
2021,,2.0,3097
2009,,3.0,3255
2010,,3.0,3256
2011,,3.0,3249
2012,,3.0,3240
2013,,3.0,3271
2014,,3.0,3293
2015,,3.0,3314
2016,,3.0,3335
2017,,3.0,3366
2018,,3.0,3350
2019,,3.0,3373
2020,,3.0,3423
2021,,3.0,3470
2009,,4.0,1296
2010,,4.0,1371
2011,,4.0,1429
2012,,4.0,1473
2013,,4.0,1517
2014,,4.0,1577
2015,,4.0,1624
2016,,4.0,1670
2017,,4.0,1725
2018,,4.0,1785
2019,,4.0,1819
2020,,4.0,1891
2021,,4.0,1987
2009,,5.0,2764
2010,,5.0,2844
2011,,5.0,2864
2012,,5.0,2882
2013,,5.0,2893
2014,,5.0,2920
2015,,5.0,2914
2016,,5.0,2899
2017,,5.0,2944
2018,,5.0,2932
2019,,5.0,2926
2020,,5.0,2976
2021,,5.0,3010
2009,,6.0,1387
2010,,6.0,1450
2011,,6.0,1482
2012,,6.0,1548
2013,,6.0,1595
2014,,6.0,1654
2015,,6.0,1715
2016,,6.0,1752
2017,,6.0,1805
2018,,6.0,1832
2019,,6.0,1844
2020,,6.0,1868
2021,,6.0,1879
2009,,7.0,2884
2010,,7.0,2958
2011,,7.0,2921
2012,,7.0,2933
2013,,7.0,3013
2014,,7.0,3016
2015,,7.0,3027
2016,,7.0,3061
2017,,7.0,3103
2018,,7.0,3105
2019,,7.0,3080
2020,,7.0,3100
2021,,7.0,3147
2009,,8.0,2135
2010,,8.0,2246
2011,,8.0,2350
2012,,8.0,2390
2013,,8.0,2461
2014,,8.0,2541
2015,,8.0,2538
2016,,8.0,2601
2017,,8.0,2646
2018,,8.0,2733
2019,,8.0,2829
2020,,8.0,2920
2021,,8.0,3053
2009,,9.0,2311
2010,,9.0,2341
2011,,9.0,2377
2012,,9.0,2416
2013,,9.0,2493
2014,,9.0,2495
2015,,9.0,2543
2016,,9.0,2627
2017,,9.0,2628
2018,,9.0,2660
2019,,9.0,2735
2020,,9.0,2759
2021,,9.0,2845
2009,,10.0,3203
2010,,10.0,3332
2011,,10.0,3378
2012,,10.0,3442
2013,,10.0,3475
2014,,10.0,3574
2015,,10.0,3623
2016,,10.0,3693
2017,,10.0,3802
2018,,10.0,3808
2019,,10.0,3861
2020,,10.0,3882
2021,,10.0,4012
2009,,11.0,3065
2010,,11.0,3065
2011,,11.0,3088
2012,,11.0,3069
2013,,11.0,3087
2014,,11.0,3105
2015,,11.0,3113
2016,,11.0,3132
2017,,11.0,3142
2018,,11.0,3172
2019,,11.0,3184
2020,,11.0,3204
2021,,11.0,3265
2009,,12.0,2517
2010,,12.0,2618
2011,,12.0,2658
2012,,12.0,2684
2013,,12.0,2750
2014,,12.0,2836
2015,,12.0,2889
2016,,12.0,2936
2017,,12.0,2986
2018,,12.0,3049
2019,,12.0,3077
2020,,12.0,3147
2021,,12.0,3236
2009,,13.0,1533
2010,,13.0,1599
2011,,13.0,1676
2012,,13.0,1738
2013,,13.0,1816
2014,,13.0,1880
2015,,13.0,1971
2016,,13.0,2034
2017,,13.0,2062
2018,,13.0,2111
2019,,13.0,2154
2020,,13.0,2211
2021,,13.0,2300
2009,,14.0,1256
2010,,14.0,1282
2011,,14.0,1301
2012,,14.0,1316
2013,,14.0,1332
2014,,14.0,1355
2015,,14.0,1369
2016,,14.0,1418
2017,,14.0,1496
2018,,14.0,1540
2019,,14.0,1599
2020,,14.0,1622
2021,,14.0,1650
2009,,15.0,1939
2010,,15.0,2004
2011,,15.0,2065
2012,,15.0,2090
2013,,15.0,2163
2014,,15.0,2190
2015,,15.0,2212
2016,,15.0,2256
2017,,15.0,2285
2018,,15.0,2330
2019,,15.0,2349
2020,,15.0,2355
2021,,15.0,2451
2009,,16.0,1586
2010,,16.0,1622
2011,,16.0,1691
2012,,16.0,1719
2013,,16.0,1735
2014,,16.0,1761
2015,,16.0,1824
2016,,16.0,1858
2017,,16.0,1907
2018,,16.0,1953
2019,,16.0,1996
2020,,16.0,2023
2021,,16.0,2061
2009,,17.0,284
2010,,17.0,296
2011,,17.0,294
2012,,17.0,295
2013,,17.0,301
2014,,17.0,308
2015,,17.0,304
2016,,17.0,295
2017,,17.0,294
2018,,17.0,292
2019,,17.0,303
2020,,17.0,312
2021,,17.0,305
2009,,18.0,507
2010,,18.0,504
2011,,18.0,515
2012,,18.0,513
2013,,18.0,524
2014,,18.0,538
2015,,18.0,543
2016,,18.0,559
2017,,18.0,571
2018,,18.0,573
2019,,18.0,588
2020,,18.0,612
2021,,18.0,628
2009,,19.0,837
2010,,19.0,848
2011,,19.0,867
2012,,19.0,891
2013,,19.0,904
2014,,19.0,934
2015,,19.0,946
2016,,19.0,978
2017,,19.0,975
2018,,19.0,1015
2019,,19.0,1048
2020,,19.0,1055
2021,,19.0,1091
