Year,Sexe,Edat,GeoCode,Value
2018,,,,15.8
2017,,,,17.6
2016,,,,19.3
2015,,,,20.2
2018,Homes,,,15.5
2017,Homes,,,17.4
2016,Homes,,,19.3
2015,Homes,,,20.5
2018,Dones,,,16.1
2017,Dones,,,17.7
2016,Dones,,,19.2
2015,Dones,,,20.0
2018,,<18,,21.6
2017,,<18,,23.8
2016,,<18,,25.8
2015,,<18,,27.1
2018,,18 a 64,,17.4
2017,,18 a 64,,19.2
2016,,18 a 64,,21.3
2015,,18 a 64,,22.3
2018,,>=65,,6.8
2017,,>=65,,7.6
2016,,>=65,,7.9
2015,,>=65,,8.2
2018,,,1.0,12.4
2017,,,1.0,13.7
2016,,,1.0,15.8
2015,,,1.0,16.8
2018,,,2.0,9.8
2017,,,2.0,11.2
2016,,,2.0,12.7
2015,,,2.0,13.6
2018,,,3.0,12.1
2017,,,3.0,13.7
2016,,,3.0,15.0
2015,,,3.0,15.5
2018,,,4.0,12.8
2017,,,4.0,14.0
2016,,,4.0,15.8
2015,,,4.0,15.9
2018,,,5.0,17.0
2017,,,5.0,19.0
2016,,,5.0,21.0
2015,,,5.0,21.8
2018,,,6.0,8.9
2017,,,6.0,9.7
2016,,,6.0,10.7
2015,,,6.0,11.0
2018,,,7.0,20.5
2017,,,7.0,22.2
2016,,,7.0,23.7
2015,,,7.0,24.3
2018,,,8.0,12.9
2017,,,8.0,14.4
2016,,,8.0,15.9
2015,,,8.0,17.0
2018,,,9.0,17.7
2017,,,9.0,19.6
2016,,,9.0,21.2
2015,,,9.0,22.1
2018,,,10.0,18.4
2017,,,10.0,20.4
2016,,,10.0,22.3
2015,,,10.0,23.1
2018,,,11.0,20.6
2017,,,11.0,22.8
2016,,,11.0,24.6
2015,,,11.0,26.2
2018,,,12.0,15.6
2017,,,12.0,17.6
2016,,,12.0,19.0
2015,,,12.0,20.2
2018,,,13.0,13.4
2017,,,13.0,14.6
2016,,,13.0,15.8
2015,,,13.0,16.4
2018,,,14.0,13.4
2017,,,14.0,15.7
2016,,,14.0,17.3
2015,,,14.0,18.0
2018,,,15.0,19.8
2017,,,15.0,21.9
2016,,,15.0,24.3
2015,,,15.0,25.6
2018,,,16.0,18.2
2017,,,16.0,19.9
2016,,,16.0,21.9
2015,,,16.0,23.3
2018,,,17.0,11.7
2017,,,17.0,13.0
2016,,,17.0,14.9
2015,,,17.0,16.1
2018,,,18.0,20.4
2017,,,18.0,21.7
2016,,,18.0,24.5
2015,,,18.0,26.7
2018,,,19.0,15.0
2017,,,19.0,17.2
2016,,,19.0,19.5
2015,,,19.0,20.9
2018,,,,6.9
2017,,,,11.6
2016,,,,15.7
2015,,,,18.5
2018,,,,12.8
2017,,,,15.2
2016,,,,13.8
2015,,,,18.8
2018,,,,8.5
2017,,,,9.2
2016,,,,11.9
2015,,,,12.8
2018,,,,11.6
2017,,,,13.1
2016,,,,17.8
2015,,,,13.8
2018,,,,9.8
2017,,,,9.8
2016,,,,11.4
2015,,,,12.5
2018,,,,15.8
2017,,,,16.4
2016,,,,18.2
2015,,,,18.7
2018,,,,9.6
2017,,,,7.8
2016,,,,9.3
2015,,,,9.8
2018,,,,16.5
2017,,,,17.3
2016,,,,22.5
2015,,,,20.2
2018,,,,16.4
2017,,,,18.2
2016,,,,23.8
2015,,,,25.2
2018,,,,14.0
2017,,,,19.6
2016,,,,22.4
2015,,,,24.5
2018,,,,9.6
2017,,,,11.0
2016,,,,12.2
2015,,,,14.5
2018,,,,14.0
2017,,,,20.3
2016,,,,21.8
2015,,,,25.6
2018,,,,9.1
2017,,,,10.6
2016,,,,11.6
2015,,,,11.3
2017,,,,10.9
2016,,,,10.0
2015,,,,12.4
2018,,,,19.3
2017,,,,19.5
2016,,,,25.2
2015,,,,25.8
2018,,,,11.1
2017,,,,13.4
2016,,,,15.0
2015,,,,16.5
2018,,,,13.2
2017,,,,12.0
2016,,,,15.8
2015,,,,17.0
2018,,,,15.2
2017,,,,17.4
2016,,,,16.5
2015,,,,21.3
2018,,,,14.3
2017,,,,16.1
2016,,,,18.3
2015,,,,18.8
2018,,,,13.7
2017,,,,14.3
2016,,,,16.2
2015,,,,17.1
2018,,,,10.6
2017,,,,10.8
2016,,,,12.1
2015,,,,12.7
2018,,,,7.0
2017,,,,7.3
2016,,,,7.3
2015,,,,9.9
2018,,,,8.0
2017,,,,10.3
2016,,,,10.6
2015,,,,10.5
2018,,,,11.2
2017,,,,10.6
2016,,,,9.5
2015,,,,9.4
2018,,,,10.0
2017,,,,10.2
2016,,,,11.6
2015,,,,11.5
2018,,,,7.0
2017,,,,10.4
2016,,,,10.7
2015,,,,14.6
2018,,,,8.5
2017,,,,9.3
2016,,,,8.5
2015,,,,8.4
2018,,,,11.2
2017,,,,15.1
2016,,,,14.3
2015,,,,14.4
2018,,,,10.9
2017,,,,13.8
2016,,,,17.4
2015,,,,18.4
2018,,,,12.7
2017,,,,14.0
2016,,,,14.5
2015,,,,17.1
2018,,,,14.1
2017,,,,14.5
2016,,,,18.1
2015,,,,18.3
2018,,,,7.8
2017,,,,13.4
2016,,,,12.4
2015,,,,11.3
2018,,,,14.0
2017,,,,14.9
2016,,,,19.6
2015,,,,20.9
2018,,,,11.9
2017,,,,13.8
2016,,,,16.0
2015,,,,16.2
2018,,,,16.4
2017,,,,17.9
2016,,,,22.6
2015,,,,25.5
2018,,,,8.6
2017,,,,10.5
2016,,,,13.3
2015,,,,16.0
2018,,,,11.2
2017,,,,10.2
2016,,,,10.6
2015,,,,13.5
2018,,,,17.7
2017,,,,21.9
2016,,,,22.1
2015,,,,23.1
2018,,,,16.2
2017,,,,18.1
2016,,,,17.5
2015,,,,17.5
2018,,,,10.4
2017,,,,16.0
2016,,,,17.4
2015,,,,19.2
2018,,,,8.5
2017,,,,10.6
2016,,,,13.5
2015,,,,12.7
2018,,,,12.6
2017,,,,11.0
2016,,,,14.5
2015,,,,15.2
2018,,,,8.6
2017,,,,10.7
2016,,,,12.4
2015,,,,13.3
2018,,,,18.3
2017,,,,19.6
2016,,,,20.6
2015,,,,19.3
2018,,,,15.8
2017,,,,17.0
2016,,,,20.6
2015,,,,20.6
2018,,,,23.1
2017,,,,26.9
2016,,,,31.2
2015,,,,33.1
2018,,,,12.7
2017,,,,17.5
2016,,,,20.3
2015,,,,22.5
2018,,,,14.9
2017,,,,15.8
2016,,,,17.0
2015,,,,19.8
2018,,,,5.3
2017,,,,4.9
2016,,,,7.1
2015,,,,6.6
2018,,,,4.8
2017,,,,5.2
2016,,,,5.3
2015,,,,7.1
2018,,,,7.0
2017,,,,4.8
2016,,,,8.8
2015,,,,5.8
2018,,,,5.4
2017,,,,5.6
2016,,,,6.7
2015,,,,9.0
2018,,,,3.5
2017,,,,3.6
2016,,,,3.5
2015,,,,4.1
2018,,,,3.9
2017,,,,5.3
2016,,,,6.7
2015,,,,6.6
2018,,,,7.8
2017,,,,7.5
2016,,,,8.6
2015,,,,8.9
2018,,,,7.5
2017,,,,9.4
2016,,,,8.8
2015,,,,10.0
2018,,,,9.5
2017,,,,8.9
2016,,,,8.8
2015,,,,11.1
2018,,,,6.0
2017,,,,8.7
2016,,,,8.7
2015,,,,10.3
2018,,,,5.6
2017,,,,5.1
2016,,,,6.1
2015,,,,6.9
2018,,,,6.9
2017,,,,6.7
2016,,,,5.7
2015,,,,8.1
2018,,,,6.4
2017,,,,8.9
2016,,,,8.1
2015,,,,9.0
2018,,,,7.4
2017,,,,8.9
2016,,,,8.4
2015,,,,10.2
2018,,,,7.4
2017,,,,8.6
2016,,,,9.7
2015,,,,9.1
2018,,,,5.1
2017,,,,6.8
2016,,,,8.2
2015,,,,7.7
2018,,,,5.9
2017,,,,6.6
2016,,,,6.6
2015,,,,8.7
2018,,,,7.2
2017,,,,7.4
2016,,,,8.7
2015,,,,8.1
2018,,,,6.6
2017,,,,6.9
2016,,,,9.4
2015,,,,6.5
2018,,,,6.5
2017,,,,9.9
2016,,,,11.5
2015,,,,11.9
2018,,,,11.8
2017,,,,13.9
2016,,,,16.4
2015,,,,14.7
2018,,,,18.7
2017,,,,22.7
2016,,,,24.3
2015,,,,25.3
2018,,,,7.5
2017,,,,9.3
2016,,,,11.4
2015,,,,12.6
2018,,,,15.2
2017,,,,14.1
2016,,,,16.7
2015,,,,15.5
2018,,,,22.0
2017,,,,20.2
2016,,,,25.0
2015,,,,25.1
2018,,,,15.1
2017,,,,26.6
2016,,,,26.4
2015,,,,23.3
2017,,,,11.0
2016,,,,11.8
2015,,,,11.1
2018,,,,12.2
2017,,,,10.6
2016,,,,11.3
2015,,,,13.5
2018,,,,15.3
2017,,,,15.0
2016,,,,18.6
2015,,,,21.9
2018,,,,11.8
2017,,,,12.7
2016,,,,15.2
2015,,,,15.2
2018,,,,12.7
2017,,,,13.8
2016,,,,16.9
2015,,,,17.1
2018,,,,7.8
2017,,,,8.9
2016,,,,8.2
2015,,,,10.4
2018,,,,15.3
2017,,,,18.2
2016,,,,20.6
2015,,,,23.3
2018,,,,10.3
2017,,,,11.2
2016,,,,11.4
2015,,,,11.7
2018,,,,11.2
2017,,,,15.4
2016,,,,15.6
2015,,,,17.5
2018,,,,6.1
2017,,,,8.9
2016,,,,11.8
2015,,,,12.7
2018,,,,8.2
2017,,,,10.0
2016,,,,11.9
2015,,,,12.4
2018,,,,16.3
2017,,,,20.1
2016,,,,23.5
2015,,,,20.5
2018,,,,8.3
2017,,,,12.6
2016,,,,14.0
2015,,,,15.3
2018,,,,15.8
2017,,,,19.3
2016,,,,20.9
2015,,,,17.5
2018,,,,14.8
2017,,,,13.9
2016,,,,16.1
2015,,,,18.9
2018,,,,10.6
2017,,,,9.9
2016,,,,10.0
2015,,,,8.9
2018,,,,7.9
2017,,,,10.9
2016,,,,11.2
2015,,,,12.8
2018,,,,9.7
2017,,,,11.3
2016,,,,13.5
2015,,,,11.3
2018,,,,13.2
2017,,,,17.0
2016,,,,15.6
2015,,,,15.3
2018,,,,7.5
2017,,,,7.6
2016,,,,12.0
2015,,,,12.4
2018,,,,14.0
2017,,,,14.7
2016,,,,14.9
2015,,,,15.9
2018,,,,13.6
2017,,,,16.4
2016,,,,16.9
2015,,,,18.9
2018,,,,7.5
2017,,,,7.8
2016,,,,7.9
2015,,,,7.8
2018,,,,13.3
2017,,,,14.2
2016,,,,15.0
2015,,,,17.4
2018,,,,14.7
2017,,,,16.2
2016,,,,15.7
2015,,,,17.5
2018,,,,10.4
2017,,,,11.3
2016,,,,12.4
2015,,,,14.2
2018,,,,10.8
2017,,,,11.9
2016,,,,14.9
2015,,,,12.0
2018,,,,8.6
2017,,,,7.1
2016,,,,7.4
2015,,,,8.6
2018,,,,14.3
2017,,,,17.3
2016,,,,16.2
2015,,,,16.6
2018,,,,14.8
2017,,,,16.3
2016,,,,15.7
2015,,,,16.2
2018,,,,6.2
2017,,,,6.9
2016,,,,6.3
2015,,,,7.1
2018,,,,9.6
2017,,,,8.9
2016,,,,12.6
2015,,,,12.3
2018,,,,21.0
2017,,,,23.9
2016,,,,27.6
2015,,,,29.3
2018,,,,10.7
2017,,,,12.6
2016,,,,15.6
2015,,,,14.9
2018,,,,10.7
2017,,,,13.5
2016,,,,14.4
2015,,,,15.1
2018,,,,5.0
2017,,,,7.7
2016,,,,8.0
2015,,,,8.9
2018,,,,6.4
2017,,,,8.5
2016,,,,10.0
2015,,,,10.7
2018,,,,18.1
2017,,,,17.1
2016,,,,22.1
2015,,,,24.1
2018,,,,23.2
2017,,,,22.3
2016,,,,27.0
2015,,,,24.7
2018,,,,19.5
2017,,,,29.7
2016,,,,28.3
2015,,,,26.6
2018,,,,15.0
2017,,,,13.4
2016,,,,17.4
2015,,,,16.7
2018,,,,23.3
2017,,,,23.9
2016,,,,18.6
2015,,,,18.9
2018,,,,30.1
2017,,,,31.5
2016,,,,37.9
2015,,,,38.1
2018,,,,26.7
2017,,,,26.3
2016,,,,26.9
2015,,,,28.0
2018,,,,23.0
2017,,,,23.0
2016,,,,24.8
2015,,,,26.9
2018,,,,25.7
2017,,,,27.0
2016,,,,29.3
2015,,,,25.9
2018,,,,10.2
2017,,,,12.1
2016,,,,13.4
2015,,,,12.8
2018,,,,8.3
2017,,,,7.7
2016,,,,9.9
2015,,,,11.0
2018,,,,5.5
2017,,,,7.8
2016,,,,8.8
2015,,,,7.4
2018,,,,12.3
2017,,,,12.3
2016,,,,12.8
2015,,,,13.5
2018,,,,9.3
2017,,,,10.8
2016,,,,12.5
2015,,,,12.9
2018,,,,14.4
2017,,,,14.4
2016,,,,17.1
2015,,,,15.0
2018,,,,17.8
2017,,,,17.4
2016,,,,18.0
2015,,,,19.2
2018,,,,9.0
2017,,,,9.0
2016,,,,9.8
2015,,,,10.0
2018,,,,9.3
2017,,,,10.3
2016,,,,12.4
2015,,,,13.8
2018,,,,7.9
2017,,,,8.4
2016,,,,10.6
2015,,,,12.2
2018,,,,5.3
2017,,,,8.7
2016,,,,9.4
2015,,,,8.5
2018,,,,6.4
2017,,,,9.4
2016,,,,10.1
2015,,,,8.9
2018,,,,14.8
2017,,,,14.7
2016,,,,17.6
2015,,,,17.1
2018,,,,26.6
2017,,,,26.0
2016,,,,31.2
2015,,,,28.9
2018,,,,26.4
2017,,,,28.0
2016,,,,28.4
2015,,,,37.2
2018,,,,19.1
2017,,,,21.9
2016,,,,21.5
2015,,,,26.2
2018,,,,21.5
2017,,,,24.9
2016,,,,26.5
2015,,,,27.8
2018,,,,18.9
2017,,,,19.5
2016,,,,20.9
2015,,,,20.0
2018,,,,19.5
2017,,,,17.8
2016,,,,19.6
2015,,,,16.1
2018,,,,14.4
2017,,,,16.3
2016,,,,15.7
2015,,,,19.8
2018,,,,25.0
2017,,,,28.5
2016,,,,30.5
2015,,,,33.7
2018,,,,12.7
2017,,,,11.4
2016,,,,12.9
2015,,,,13.8
2018,,,,18.3
2017,,,,18.4
2016,,,,23.6
