Year,GeoCode,Value
2018,,52.74
2017,,52.58
2016,,52.1
2015,,51.29
2014,,50.82
2013,,51.45
2012,,51.35
2011,,51.8
2010,,54.33
2018,d1,60.61
2017,d1,60.78
2016,d1,60.09
2015,d1,56.59
2014,d1,58.55
2013,d1,57.79
2012,d1,56.33
2011,d1,57.65
2010,d1,58.1
2018,d2,61.3
2017,d2,60.23
2016,d2,60.59
2015,d2,58.95
2014,d2,58.42
2013,d2,58.16
2012,d2,60.22
2011,d2,60.97
2010,d2,59.81
2018,d3,50.92
2017,d3,49.88
2016,d3,49.08
2015,d3,48.45
2014,d3,48.11
2013,d3,51.14
2012,d3,49.18
2011,d3,49.6
2010,d3,50.17
2018,d4,48.6
2017,d4,50.51
2016,d4,50.81
2015,d4,52.89
2014,d4,51.85
2013,d4,49.76
2012,d4,46.14
2011,d4,45.87
2010,d4,46.56
2018,d5,53.04
2017,d5,51.64
2016,d5,50.25
2015,d5,50.53
2014,d5,50.64
2013,d5,52.33
2012,d5,51.72
2011,d5,52.51
2010,d5,51.75
2018,d6,58.17
2017,d6,57.9
2016,d6,55.25
2015,d6,52.83
2014,d6,52.2
2013,d6,53.99
2012,d6,51.93
2011,d6,52.69
2010,d6,51.98
2018,d7,47.27
2017,d7,48.53
2016,d7,46.37
2015,d7,47.19
2014,d7,45.98
2013,d7,46.43
2012,d7,44.9
2011,d7,45.97
2010,d7,46.35
2018,d8,47.34
2017,d8,48.15
2016,d8,47.26
2015,d8,48.25
2014,d8,47.69
2013,d8,46.86
2012,d8,45.75
2011,d8,46.19
2010,d8,46.72
2018,d9,47.33
2017,d9,48.22
2016,d9,48.69
2015,d9,48.38
2014,d9,49.0
2013,d9,47.84
2012,d9,48.56
2011,d9,47.21
2010,d9,48.32
2018,d10,51.0
2017,d10,49.63
2016,d10,50.03
2015,d10,48.49
2014,d10,47.14
2013,d10,46.23
2012,d10,46.7
2011,d10,48.07
2010,d10,47.09
2018,d11,48.57
2017,d11,49.89
2016,d11,48.89
2015,d11,48.16
2014,d11,47.99
2013,d11,47.99
2012,d11,47.56
2011,d11,47.09
2010,d11,48.38
2018,d12,51.9
2017,d12,52.56
2016,d12,52.07
2015,d12,51.33
2014,d12,49.74
2013,d12,50.14
2012,d12,49.19
2011,d12,50.0
2010,d12,50.3
2018,d13,47.02
2017,d13,50.24
2016,d13,50.52
2015,d13,49.27
2014,d13,47.19
2013,d13,45.71
2012,d13,47.38
2011,d13,47.73
2010,d13,47.53
2018,d14,51.16
2017,d14,53.21
2016,d14,55.53
2015,d14,54.83
2014,d14,55.73
2013,d14,52.92
2012,d14,48.44
2011,d14,46.41
2010,d14,45.31
2018,d15,50.95
2017,d15,50.29
2016,d15,48.91
2015,d15,47.01
2014,d15,47.25
2013,d15,46.62
2012,d15,46.57
2011,d15,45.69
2010,d15,45.39
2018,d16,48.6
2017,d16,47.52
2016,d16,48.35
2015,d16,47.88
2014,d16,48.39
2013,d16,42.77
2012,d16,43.8
2011,d16,44.15
2010,d16,44.52
2018,d18,52.6
2017,d18,53.27
2016,d18,47.96
2015,d18,47.64
2014,d18,45.93
2013,d18,43.36
2012,d18,41.56
2011,d18,44.08
2010,d18,40.66
2018,d19,45.28
2017,d19,46.61
2016,d19,50.01
2015,d19,49.96
2014,d19,45.83
2013,d19,42.43
2012,d19,42.9
2011,d19,44.04
2010,d19,46.63
2018,d171,59.38
2017,d171,56.61
2016,d171,55.36
2015,d171,55.86
2014,d171,58.07
2013,d171,61.18
2012,d171,40.5
2011,d171,42.78
2010,d171,42.79
2018,d172,59.38
2017,d172,56.61
2016,d172,55.36
2015,d172,55.86
2014,d172,58.07
2013,d172,61.18
2012,d172,40.5
2011,d172,42.78
2010,d172,42.79
2018,d173,59.38
2017,d173,56.61
2016,d173,55.36
2015,d173,55.86
2014,d173,58.07
2013,d173,61.18
2012,d173,40.5
2011,d173,42.78
2010,d173,42.79
2018,d174,59.38
2017,d174,56.61
2016,d174,55.36
2015,d174,55.86
2014,d174,58.07
2013,d174,61.18
2012,d174,40.5
2011,d174,42.78
2010,d174,42.79
