Year,Value
2020,94.0
2019,133.0
2018,71.0
2017,86.0
2016,104.0
2015,97.0
2014,99.0
2013,128.0
2012,107.0
2011,141.0
2010,149.0
2009,180.0
2021,800180.0
2020,801545.0
2019,795736.0
2018,798538.0
2017,792086.0
2016,791632.0
2015,787266.0
2014,787301.0
2013,794228.0
2012,799188.0
2011,800469.0
2010,810444.0
2009,815440.0
2020,800862.5
2019,798640.5
2018,797137.0
2017,795312.0
2016,791859.0
2015,789449.0
2014,787283.5
2013,790764.5
2012,796708.0
2011,799828.5
2010,805456.5
2009,812942.0
2020,11.74
2019,16.65
2018,8.91
2017,10.81
2016,13.13
2015,12.29
2014,12.57
2013,16.19
2012,13.43
2011,17.63
2010,18.5
2009,22.14
