Year,Sexe,Edat,GeoCode,Value
2019,,,,765.0
2018,,,,961.0
2017,,,,868.0
2016,,,,752.0
2015,,,,847.0
2014,,,,782.0
2013,,,,703.0
2012,,,,831.0
2011,,,,783.0
2010,,,,798.0
2009,,,,835.0
2021,,,,800180.0
2020,,,,801545.0
2019,,,,795736.0
2018,,,,798538.0
2017,,,,792086.0
2016,,,,791632.0
2015,,,,787266.0
2014,,,,787301.0
2013,,,,794228.0
2012,,,,799188.0
2011,,,,800469.0
2010,,,,810444.0
2009,,,,815440.0
2020,,,,800862.5
2019,,,,798640.5
2018,,,,797137.0
2017,,,,795312.0
2016,,,,791859.0
2015,,,,789449.0
2014,,,,787283.5
2013,,,,790764.5
2012,,,,796708.0
2011,,,,799828.5
2010,,,,805456.5
2009,,,,812942.0
2019,,,,95.79
2018,,,,120.56
2017,,,,109.14
2016,,,,94.97
2015,,,,107.29
2014,,,,99.33
2013,,,,88.9
2012,,,,104.3
2011,,,,97.9
2010,,,,99.07
2009,,,,102.71
2019,Homes,,,399.0
2018,Homes,,,504.0
2017,Homes,,,463.0
2016,Homes,,,371.0
2015,Homes,,,482.0
2014,Homes,,,390.0
2013,Homes,,,390.0
2012,Homes,,,444.0
2011,Homes,,,428.0
2010,Homes,,,466.0
2009,Homes,,,464.0
2021,Homes,,,380275.0
2020,Homes,,,381117.0
2019,Homes,,,378431.0
2018,Homes,,,380807.0
2017,Homes,,,377718.0
2016,Homes,,,378282.0
2015,Homes,,,376142.0
2014,Homes,,,375952.0
2013,Homes,,,380127.0
2012,Homes,,,383245.0
2011,Homes,,,384159.0
2010,Homes,,,390293.0
2009,Homes,,,393358.0
2020,Homes,,,380696.0
2019,Homes,,,379774.0
2018,Homes,,,379619.0
2017,Homes,,,379262.5
2016,Homes,,,378000.0
2015,Homes,,,377212.0
2014,Homes,,,376047.0
2013,Homes,,,378039.5
2012,Homes,,,381686.0
2011,Homes,,,383702.0
2010,Homes,,,387226.0
2009,Homes,,,391825.5
2019,Homes,,,105.06
2018,Homes,,,132.76
2017,Homes,,,122.08
2016,Homes,,,98.15
2015,Homes,,,127.78
2014,Homes,,,103.71
2013,Homes,,,103.16
2012,Homes,,,116.33
2011,Homes,,,111.54
2010,Homes,,,120.34
2009,Homes,,,118.42
2019,Dones,,,366.0
2018,Dones,,,457.0
2017,Dones,,,405.0
2016,Dones,,,381.0
2015,Dones,,,365.0
2014,Dones,,,392.0
2013,Dones,,,313.0
2012,Dones,,,387.0
2011,Dones,,,355.0
2010,Dones,,,332.0
2009,Dones,,,371.0
2021,Dones,,,419905.0
2020,Dones,,,420428.0
2019,Dones,,,417305.0
2018,Dones,,,417731.0
2017,Dones,,,414368.0
2016,Dones,,,413350.0
2015,Dones,,,411124.0
2014,Dones,,,411349.0
2013,Dones,,,414101.0
2012,Dones,,,415943.0
2011,Dones,,,416310.0
2010,Dones,,,420151.0
2009,Dones,,,422082.0
2020,Dones,,,420166.5
2019,Dones,,,418866.5
2018,Dones,,,417518.0
2017,Dones,,,416049.5
2016,Dones,,,413859.0
2015,Dones,,,412237.0
2014,Dones,,,411236.5
2013,Dones,,,412725.0
2012,Dones,,,415022.0
2011,Dones,,,416126.5
2010,Dones,,,418230.5
2009,Dones,,,421116.5
2019,Dones,,,87.38
2018,Dones,,,109.46
2017,Dones,,,97.34
2016,Dones,,,92.06
2015,Dones,,,88.54
2014,Dones,,,95.32
2013,Dones,,,75.84
