Year,Sexe,Value
2019,,85.83
2018,,79.36
2017,,84.61
2016,,81.74
2015,,80.3
2014,,73.12
2013,,77.23
2012,,80.13
2011,,81.69
2010,,81.24
2009,,79.89
2020,Homes,83.34
2019,Homes,82.99
2018,Homes,75.68
2017,Homes,82.4
2016,Homes,78.7
2015,Homes,76.62
2014,Homes,72.08
2013,Homes,73.93
2012,Homes,78.2
2011,Homes,79.12
2010,Homes,78.92
2009,Homes,77.05
2020,Dones,89.65
2019,Dones,88.59
2018,Dones,82.84
2017,Dones,86.77
2016,Dones,84.7
2015,Dones,83.95
2014,Dones,74.08
2013,Dones,80.28
2012,Dones,81.88
2011,Dones,84.0
2010,Dones,83.41
2009,Dones,82.56
