Year,Sexe,Value
2021,,54.56
2020,,55.51
2019,,48.71
2018,,46.11
2017,,38.55
2016,,37.43
2015,,34.42
2014,,30.81
2013,,16.92
2012,,21.72
2011,,18.53
2010,,14.18
2021,Homes,64.89
2020,Homes,59.93
2019,Homes,57.92
2018,Homes,53.03
2017,Homes,44.42
2016,Homes,48.46
2015,Homes,40.57
2014,Homes,43.39
2013,Homes,18.47
2012,Homes,22.89
2011,Homes,20.3
2010,Homes,15.36
2021,Dones,44.77
2020,Dones,51.58
2019,Dones,39.17
2018,Dones,39.36
2017,Dones,31.25
2016,Dones,27.86
2015,Dones,29.94
2014,Dones,22.37
2013,Dones,15.75
2012,Dones,20.63
2011,Dones,16.69
2010,Dones,13.06
