Year,Sexe,Value
2009,,60.75
2010,,59.0
2011,,58.0
2012,,57.75
2013,,57.5
2014,,57.46
2015,,58.47
2016,,58.36
2017,,59.19
2018,,58.24
2019,,57.19
2020,,56.53
2009,Homes,68.25
2010,Homes,66.25
2011,Homes,62.5
2012,Homes,62.5
2013,Homes,64.25
2014,Homes,63.89
2015,Homes,64.29
2016,Homes,62.79
2017,Homes,64.95
2018,Homes,64.58
2019,Homes,64.17
2020,Homes,62.18
2009,Dones,54.0
2010,Dones,52.25
2011,Dones,53.25
2012,Dones,53.75
2013,Dones,51.5
2014,Dones,51.65
2015,Dones,53.21
2016,Dones,54.31
2017,Dones,53.97
2018,Dones,52.65
2019,Dones,50.9
2020,Dones,51.67
