Year,Sexe,Edat,Value
2009,,,96
2010,,,102
2011,,,120
2012,,,99
2013,,,97
2014,,,80
2015,,,158
2016,,,165
2017,,,180
2018,,,273
2019,,,285
2020,,,160
2009,Homes,,55
2010,Homes,,59
2011,Homes,,46
2012,Homes,,40
2013,Homes,,26
2014,Homes,,34
2015,Homes,,56
2016,Homes,,61
2017,Homes,,56
2018,Homes,,76
2019,Homes,,106
2020,Homes,,60
2009,Dones,,41
2010,Dones,,43
2011,Dones,,74
2012,Dones,,59
2013,Dones,,71
2014,Dones,,46
2015,Dones,,102
2016,Dones,,104
2017,Dones,,124
2018,Dones,,197
2019,Dones,,179
2020,Dones,,100
2009,,<30,10
2010,,<30,161
2011,,<30,10
2012,,<30,12
2013,,<30,5
2014,,<30,6
2015,,<30,10
2016,,<30,10
2017,,<30,11
2018,,<30,33
2019,,<30,12
2020,,<30,11
2009,,30 a 49,65
2010,,30 a 49,145
2011,,30 a 49,69
2012,,30 a 49,45
2013,,30 a 49,63
2014,,30 a 49,43
2015,,30 a 49,97
2016,,30 a 49,89
2017,,30 a 49,91
2018,,30 a 49,137
2019,,30 a 49,159
2020,,30 a 49,84
2009,,>=50,21
2010,,>=50,102
2011,,>=50,41
2012,,>=50,42
2013,,>=50,29
2014,,>=50,31
2015,,>=50,51
2016,,>=50,66
2017,,>=50,78
2018,,>=50,103
2019,,>=50,114
2020,,>=50,65
