Year,GeoCode,Value
2020,,34.3
2019,,34.6
2018,,35.4
2017,,36.1
2016,,37.0
2015,,37.3
2020,d1,38.3
2019,d1,39.4
2018,d1,39.5
2017,d1,39.9
2016,d1,41.5
2015,d1,41.3
2020,d2,36.8
2019,d2,37.1
2018,d2,37.2
2017,d2,37.9
2016,d2,38.9
2015,d2,38.8
2020,d3,33.3
2019,d3,33.8
2018,d3,34.6
2017,d3,35.2
2016,d3,36.2
2015,d3,36.6
2020,d4,32.9
2019,d4,33.2
2018,d4,34.2
2017,d4,34.4
2016,d4,35.6
2015,d4,35.6
2020,d5,32.7
2019,d5,32.9
2018,d5,33.8
2017,d5,34.7
2016,d5,35.5
2015,d5,35.8
2020,d6,34.3
2019,d6,35.4
2018,d6,36.2
2017,d6,36.3
2016,d6,37.4
2015,d6,37.5
2020,d7,32.6
2019,d7,32.5
2018,d7,33.6
2017,d7,34.2
2016,d7,34.7
2015,d7,34.8
2020,d8,29.8
2019,d8,29.9
2018,d8,30.7
2017,d8,31.3
2016,d8,32.1
2015,d8,32.5
2020,d9,31.3
2019,d9,31.5
2018,d9,32.2
2017,d9,32.9
2016,d9,33.6
2015,d9,34.0
2020,d10,33.1
2019,d10,33.3
2018,d10,34.3
2017,d10,34.8
2016,d10,35.7
2015,d10,36.0
2020,d11,33.5
2019,d11,34.1
2018,d11,35.0
2017,d11,35.9
2016,d11,36.8
2015,d11,37.2
2020,d12,34.6
2019,d12,34.9
2018,d12,35.5
2017,d12,36.3
2016,d12,37.1
2015,d12,37.6
2020,d13,32.8
2019,d13,33.0
2018,d13,34.0
2017,d13,34.3
2016,d13,35.0
2015,d13,35.2
2020,d14,33.0
2019,d14,32.9
2018,d14,33.9
2017,d14,35.0
2016,d14,35.9
2015,d14,36.3
2020,d15,33.6
2019,d15,33.8
2018,d15,34.7
2017,d15,35.3
2016,d15,36.4
2015,d15,36.6
2020,d16,31.3
2019,d16,31.8
2018,d16,32.6
2017,d16,33.0
2016,d16,33.8
2015,d16,34.2
2020,d18,30.9
2019,d18,31.3
2018,d18,32.7
2017,d18,33.2
2016,d18,34.6
2015,d18,35.5
2020,d19,31.4
2019,d19,31.6
2018,d19,32.0
2017,d19,32.9
2016,d19,34.0
2015,d19,34.3
2020,d171,32.6
2019,d171,33.9
2018,d171,34.8
2017,d171,34.9
2016,d171,36.2
2015,d171,36.5
2020,d172,32.6
2019,d172,33.9
2018,d172,34.8
2017,d172,34.9
2016,d172,36.2
2015,d172,36.5
2020,d173,32.6
2019,d173,33.9
2018,d173,34.8
2017,d173,34.9
2016,d173,36.2
2015,d173,36.5
2020,d174,32.6
2019,d174,33.9
2018,d174,34.8
2017,d174,34.9
2016,d174,36.2
2015,d174,36.5
