Year,Sexe,GeoCode,Value
2020,,,23.0
2019,,,16.0
2018,,,19.0
2017,,,23.0
2016,,,19.0
2015,,,12.0
2014,,,24.0
2013,,,22.0
2012,,,26.0
2011,,,26.0
2010,,,39.0
2009,,,34.0
2020,,,5655.0
2019,,,5823.0
2018,,,6014.0
2017,,,6196.0
2016,,,6637.0
2015,,,6523.0
2014,,,6734.0
2013,,,6743.0
2012,,,7344.0
2011,,,7596.0
2010,,,7812.0
2009,,,8035.0
2020,,,4.07
2019,,,2.75
2018,,,3.16
2017,,,3.71
2016,,,2.86
2015,,,1.84
2014,,,3.56
2013,,,3.26
2012,,,3.54
2011,,,3.42
2010,,,4.99
2009,,,4.23
2020,Homes,,12.0
2019,Homes,,8.0
2018,Homes,,14.0
2017,Homes,,15.0
2016,Homes,,16.0
2015,Homes,,6.0
2014,Homes,,13.0
2013,Homes,,8.0
2012,Homes,,19.0
2011,Homes,,18.0
2010,Homes,,19.0
2009,Homes,,21.0
2020,Homes,,2867.0
2019,Homes,,2997.0
2018,Homes,,3130.0
2017,Homes,,3211.0
2016,Homes,,3420.0
2015,Homes,,3333.0
2014,Homes,,3494.0
2013,Homes,,3453.0
2012,Homes,,3804.0
2011,Homes,,3866.0
2010,Homes,,4011.0
2009,Homes,,4250.0
2020,Homes,,4.19
2019,Homes,,2.67
2018,Homes,,4.47
2017,Homes,,4.67
2016,Homes,,4.68
2015,Homes,,1.8
2014,Homes,,3.72
2013,Homes,,2.32
2012,Homes,,4.99
2011,Homes,,4.66
2010,Homes,,4.74
2009,Homes,,4.94
2020,Dones,,11.0
2019,Dones,,8.0
2018,Dones,,5.0
2017,Dones,,8.0
2016,Dones,,3.0
2015,Dones,,6.0
2014,Dones,,11.0
2013,Dones,,14.0
2012,Dones,,7.0
2011,Dones,,8.0
2010,Dones,,20.0
2009,Dones,,13.0
2020,Dones,,2788.0
2019,Dones,,2826.0
2018,Dones,,2884.0
2017,Dones,,2985.0
2016,Dones,,3217.0
2015,Dones,,3190.0
2014,Dones,,3249.0
2013,Dones,,3290.0
2012,Dones,,3540.0
2011,Dones,,3730.0
2010,Dones,,3801.0
2009,Dones,,3785.0
2020,Dones,,3.95
2019,Dones,,2.83
2018,Dones,,1.73
2017,Dones,,2.68
2016,Dones,,0.93
2015,Dones,,1.88
2014,Dones,,3.39
2013,Dones,,4.26
2012,Dones,,1.98
2011,Dones,,2.14
2010,Dones,,5.26
2009,Dones,,3.43
2020,,1.0,2.0
2019,,1.0,0.0
2018,,1.0,1.0
2017,,1.0,1.0
2016,,1.0,2.0
2015,,1.0,0.0
2014,,1.0,0.0
2013,,1.0,1.0
2012,,1.0,1.0
2011,,1.0,1.0
2010,,1.0,2.0
