Year,Value
2019,128.0
2018,107.0
2017,115.0
2016,132.0
2015,120.0
2014,162.0
2013,121.0
2012,174.0
2011,169.0
2010,205.0
2009,205.0
2021,38215.0
2020,38300.0
2019,37890.0
2018,37240.0
2017,36254.0
2016,35489.0
2015,34761.0
2014,34327.0
2013,34161.0
2012,34396.0
2011,34347.0
2010,34564.0
2009,34759.0
2020,38257.5
2019,38095.0
2018,37565.0
2017,36747.0
2016,35871.5
2015,35125.0
2014,34544.0
2013,34244.0
2012,34278.5
2011,34371.5
2010,34455.5
2009,34661.5
2019,3.36
2018,2.85
2017,3.13
2016,3.68
2015,3.42
2014,4.69
2013,3.53
2012,5.08
2011,4.92
2010,5.95
2009,5.91
