Year,Sexe,Value
2023,,74.48
2022,,72.53
2021,,69.35
2020,,65.65
2019,,69.28
2018,,67.09
2017,,67.76
2016,,66.59
2015,,66.65
2014,,65.22
2013,,64.47
2012,,65.17
2011,,64.43
2010,,64.06
2009,,61.18
2023,Homes,74.81
2022,Homes,72.95
2021,Homes,69.57
2020,Homes,65.28
2019,Homes,69.18
2018,Homes,66.51
2017,Homes,67.68
2016,Homes,66.16
2015,Homes,65.7
2014,Homes,64.66
2013,Homes,64.11
2012,Homes,64.91
2011,Homes,63.73
2010,Homes,61.98
2009,Homes,59.13
2023,Dones,74.13
2022,Dones,72.07
2021,Dones,69.12
2020,Dones,66.04
2019,Dones,69.39
2018,Dones,67.71
2017,Dones,67.84
2016,Dones,67.05
2015,Dones,67.67
2014,Dones,65.81
2013,Dones,64.85
2012,Dones,65.46
2011,Dones,65.17
2010,Dones,66.29
2009,Dones,63.32
