Year,Sexe,Value
2010,,14.18
2011,,18.53
2012,,21.72
2013,,16.92
2014,,30.81
2015,,34.42
2016,,37.43
2017,,38.55
2018,,46.11
2019,,48.71
2020,,55.51
2010,Homes,15.36
2011,Homes,20.3
2012,Homes,22.89
2013,Homes,18.47
2014,Homes,43.39
2015,Homes,40.57
2016,Homes,48.46
2017,Homes,44.42
2018,Homes,53.03
2019,Homes,57.92
2020,Homes,59.93
2010,Dones,13.06
2011,Dones,16.69
2012,Dones,20.63
2013,Dones,15.75
2014,Dones,22.37
2015,Dones,29.94
2016,Dones,27.86
2017,Dones,31.25
2018,Dones,39.36
2019,Dones,39.17
2020,Dones,51.58
