Year,Sexe,Value
2021,,55.31
2020,,56.53
2019,,57.19
2018,,58.24
2017,,59.19
2016,,58.36
2015,,58.47
2014,,57.46
2013,,57.5
2012,,57.75
2011,,58.0
2010,,59.0
2009,,60.75
2021,Homes,57.75
2020,Homes,62.18
2019,Homes,64.17
2018,Homes,64.58
2017,Homes,64.95
2016,Homes,62.79
2015,Homes,64.29
2014,Homes,63.89
2013,Homes,64.25
2012,Homes,62.5
2011,Homes,62.5
2010,Homes,66.25
2009,Homes,68.25
2021,Dones,53.18
2020,Dones,51.67
2019,Dones,50.9
2018,Dones,52.65
2017,Dones,53.97
2016,Dones,54.31
2015,Dones,53.21
2014,Dones,51.65
2013,Dones,51.5
2012,Dones,53.75
2011,Dones,53.25
2010,Dones,52.25
2009,Dones,54.0
