Year,Value,GeoCode
2021,4.18,
2020,3.63,
2019,3.1,
2018,2.78,
2017,2.61,
2016,2.41,
2015,2.39,
2014,2.36,
2013,2.22,
2012,2.17,
2011,2.23,
2010,2.1,
2009,2.14,
2021,6.34,d1
2020,2.26,d1
2019,2.11,d1
2018,1.91,d1
2017,1.86,d1
2016,1.87,d1
2015,1.89,d1
2014,1.87,d1
2013,1.71,d1
2012,1.86,d1
2011,1.9,d1
2010,1.85,d1
2009,1.7,d1
2021,4.09,d2
2020,3.39,d2
2019,2.72,d2
2018,2.69,d2
2017,2.7,d2
2016,2.69,d2
2015,2.63,d2
2014,2.41,d2
2013,2.17,d2
2012,2.2,d2
2011,2.2,d2
2010,2.19,d2
2009,2.81,d2
2021,3.56,d3
2020,3.52,d3
2019,2.98,d3
2018,2.46,d3
2017,2.58,d3
2016,2.59,d3
2015,2.49,d3
2014,2.46,d3
2013,2.35,d3
2012,2.37,d3
2011,2.37,d3
2010,2.34,d3
2009,2.76,d3
2021,3.83,d4
2020,3.85,d4
2019,3.65,d4
2018,3.77,d4
2017,3.63,d4
2016,2.5,d4
2015,2.45,d4
2014,2.44,d4
2013,2.23,d4
2012,2.23,d4
2011,2.25,d4
2010,2.23,d4
2009,2.24,d4
2021,3.18,d5
2020,3.16,d5
2019,2.38,d5
2018,2.34,d5
2017,2.13,d5
2016,2.14,d5
2015,2.14,d5
2014,2.13,d5
2013,1.93,d5
2012,1.95,d5
2011,1.94,d5
2010,1.89,d5
2009,1.87,d5
2021,5.17,d6
2020,5.16,d6
2019,2.88,d6
2018,2.77,d6
2017,2.77,d6
2016,2.66,d6
2015,2.69,d6
2014,2.63,d6
2013,2.3,d6
2012,2.3,d6
2011,2.3,d6
2010,2.15,d6
2009,2.12,d6
2021,3.43,d7
2020,3.39,d7
2019,3.36,d7
2018,3.37,d7
2017,3.29,d7
2016,2.34,d7
2015,2.33,d7
2014,2.32,d7
2013,2.22,d7
2012,2.19,d7
2011,2.17,d7
2010,2.06,d7
2009,2.01,d7
2021,3.49,d8
2020,3.39,d8
2019,2.96,d8
2018,2.88,d8
2017,2.24,d8
2016,2.22,d8
2015,2.21,d8
2014,2.2,d8
2013,2.12,d8
2012,2.11,d8
2011,2.1,d8
2010,2.11,d8
2009,2.26,d8
2021,3.31,d9
2020,3.12,d9
2019,2.36,d9
2018,2.11,d9
2017,2.05,d9
2016,2.07,d9
2015,2.1,d9
2014,2.1,d9
2013,2.06,d9
2012,2.1,d9
2011,2.09,d9
2010,2.02,d9
2009,1.99,d9
2021,4.62,d10
2020,3.45,d10
2019,3.52,d10
2018,2.94,d10
2017,2.98,d10
2016,2.42,d10
2015,2.4,d10
2014,2.36,d10
2013,2.26,d10
2012,2.21,d10
2011,2.11,d10
2010,2.11,d10
2009,2.06,d10
2021,5.34,d11
2020,4.09,d11
2019,3.9,d11
2018,2.78,d11
2017,2.77,d11
2016,2.74,d11
2015,2.72,d11
2014,2.71,d11
2013,2.66,d11
2012,2.64,d11
2011,2.81,d11
2010,2.48,d11
2009,2.44,d11
2021,3.38,d12
2020,3.34,d12
2019,3.36,d12
2018,2.15,d12
2017,2.14,d12
2016,2.12,d12
2015,2.14,d12
2014,2.13,d12
2013,1.84,d12
2012,1.85,d12
2011,2.72,d12
2010,1.85,d12
2009,1.85,d12
2021,4.7,d13
2020,4.64,d13
2019,4.11,d13
2018,3.52,d13
2017,3.46,d13
2016,3.44,d13
2015,3.44,d13
2014,3.43,d13
2013,3.14,d13
2012,2.08,d13
2011,2.07,d13
2010,2.04,d13
2009,2.01,d13
2021,4.03,d14
2020,3.97,d14
2019,2.12,d14
2018,2.1,d14
2017,2.14,d14
2016,2.13,d14
2015,2.11,d14
2014,2.11,d14
2013,2.93,d14
2012,1.9,d14
2011,1.88,d14
2010,1.85,d14
2009,1.83,d14
2021,2.71,d15
2020,2.69,d15
2019,2.3,d15
2018,2.32,d15
2017,1.91,d15
2016,1.9,d15
2015,1.92,d15
2014,1.92,d15
2013,1.33,d15
2012,1.74,d15
2011,1.73,d15
2010,1.75,d15
2009,1.73,d15
2021,3.32,d16
2020,3.12,d16
2019,2.96,d16
2018,2.91,d16
2017,2.1,d16
2016,2.0,d16
2015,2.0,d16
2014,2.02,d16
2013,1.87,d16
2012,1.83,d16
2011,1.84,d16
2010,1.77,d16
2009,1.77,d16
2021,3.92,d18
2020,3.84,d18
2019,3.89,d18
2018,3.83,d18
2017,3.86,d18
2016,2.29,d18
2015,2.15,d18
2014,2.0,d18
2013,2.11,d18
2012,2.04,d18
2011,2.04,d18
2010,1.95,d18
2009,1.96,d18
2021,9.69,d19
2020,4.8,d19
2019,4.89,d19
2018,4.31,d19
2017,4.5,d19
2016,4.3,d19
2015,4.23,d19
2014,3.91,d19
2013,3.79,d19
2012,3.74,d19
2011,3.62,d19
2010,3.42,d19
2009,3.14,d19
2021,15.67,d171
2020,15.95,d171
2019,5.33,d171
2018,5.35,d171
2017,3.67,d171
2016,3.37,d171
2015,3.24,d171
2014,3.41,d171
2013,2.16,d171
2012,3.39,d171
2011,3.34,d171
2010,3.03,d171
2009,2.89,d171
2021,15.67,d172
2020,15.95,d172
2019,5.33,d172
2018,5.35,d172
2017,3.67,d172
2016,3.37,d172
2015,3.24,d172
2014,3.41,d172
2013,2.16,d172
2012,3.39,d172
2011,3.34,d172
2010,3.03,d172
2009,2.89,d172
2021,15.67,d173
2020,15.95,d173
2019,5.33,d173
2018,5.35,d173
2017,3.67,d173
2016,3.37,d173
2015,3.24,d173
2014,3.41,d173
2013,2.16,d173
2012,3.39,d173
2011,3.34,d173
2010,3.03,d173
2009,2.89,d173
2021,15.67,d174
2020,15.95,d174
2019,5.33,d174
2018,5.35,d174
2017,3.67,d174
2016,3.37,d174
2015,3.24,d174
2014,3.41,d174
2013,2.16,d174
2012,3.39,d174
2011,3.34,d174
2010,3.03,d174
2009,2.89,d174
