Year,Value
2020,5300.0
2019,5777.0
2018,5867.0
2017,5941.0
2016,5475.0
2015,4588.0
2014,4476.0
2013,4401.0
2012,4384.0
2011,4679.0
2010,5009.0
2009,4539.0
2021,800180.0
2020,801545.0
2019,795736.0
2018,798538.0
2017,792086.0
2016,791632.0
2015,787266.0
2014,787301.0
2013,794228.0
2012,799188.0
2011,800469.0
2010,810444.0
2009,815440.0
2020,800862.5
2019,798640.5
2018,797137.0
2017,795312.0
2016,791859.0
2015,789449.0
2014,787283.5
2013,790764.5
2012,796708.0
2011,799828.5
2010,805456.5
2009,812942.0
2020,66.18
2019,72.34
2018,73.6
2017,74.7
2016,69.14
2015,58.12
2014,56.85
2013,55.66
2012,55.03
2011,58.5
2010,62.19
2009,55.83
