Year,Value
2020,801545.0
2019,795736.0
2018,798538.0
2017,792086.0
2016,791632.0
2015,787266.0
2014,787301.0
2013,794228.0
2012,799188.0
2011,800469.0
2010,810444.0
2009,815440.0
2020,800863.0
2019,798640.5
2018,797137.0
2017,795312.0
2016,791859.0
2015,789449.0
2014,787283.5
2013,790764.5
2012,796708.0
2011,799828.5
2010,805456.5
2009,812942.0
2020,1032798.0
2019,1029004.51
2018,1048054.36
2017,1020572.64
2016,985013.0
2015,1032985.0
2014,1005263.04
2013,995575.3
2012,1066475.0
2011,1132102.0
2010,1115285.3
2009,1189230.0
2020,3.53
2019,3.53
2018,3.6
2017,3.52
2016,3.41
2015,3.58
2014,3.5
2013,3.45
2012,3.67
2011,3.88
2010,3.79
2009,4.01
