Year,Gender,GeoCode,Value,regions
2021,,,19291,
2020,,,18641,
2019,,,18992,
2018,,,19177,
2017,,,19124,
2016,,,19011,
2015,,,18701,
2014,,,18356,
2013,,,17928,
2012,,,17399,
2011,,,16966,
2010,,,16415,
2009,,,15837,
2021,Men,,3640,
2020,Men,,3514,
2019,Men,,3600,
2018,Men,,3620,
2017,Men,,3581,
2016,Men,,3462,
2015,Men,,3317,
2014,Men,,3229,
2013,Men,,3181,
2012,Men,,3055,
2011,Men,,3009,
2010,Men,,2902,
2009,Men,,2843,
2021,Women,,15651,
2020,Women,,15127,
2019,Women,,15392,
2018,Women,,15557,
2017,Women,,15543,
2016,Women,,15549,
2015,Women,,15384,
2014,Women,,15127,
2013,Women,,14747,
2012,Women,,14344,
2011,Women,,13957,
2010,Women,,13513,
2009,Women,,12994,
2021,,1,718,1
2020,,1,726,1
2019,,1,752,1
2018,,1,780,1
2017,,1,795,1
2016,,1,817,1
2015,,1,809,1
2014,,1,819,1
2013,,1,818,1
2012,,1,809,1
2011,,1,792,1
2010,,1,778,1
2009,,1,789,1
2021,,2,1355,2
2020,,2,1338,2
2019,,2,1374,2
2018,,2,1436,2
2017,,2,1467,2
2016,,2,1474,2
2015,,2,1481,2
2014,,2,1495,2
2013,,2,1460,2
2012,,2,1470,2
2011,,2,1463,2
2010,,2,1431,2
2009,,2,1406,2
2021,,3,1594,3
2020,,3,1572,3
2019,,3,1591,3
2018,,3,1611,3
2017,,3,1636,3
2016,,3,1654,3
2015,,3,1640,3
2014,,3,1625,3
2013,,3,1600,3
2012,,3,1568,3
2011,,3,1560,3
2010,,3,1531,3
2009,,3,1529,3
2021,,4,698,4
2020,,4,666,4
2019,,4,663,4
2018,,4,680,4
2017,,4,668,4
2016,,4,647,4
2015,,4,622,4
2014,,4,602,4
2013,,4,587,4
2012,,4,587,4
2011,,4,581,4
2010,,4,542,4
2009,,4,494,4
2021,,5,1367,5
2020,,5,1323,5
2019,,5,1326,5
2018,,5,1341,5
2017,,5,1351,5
2016,,5,1352,5
2015,,5,1383,5
2014,,5,1377,5
2013,,5,1358,5
2012,,5,1316,5
2011,,5,1282,5
2010,,5,1262,5
2009,,5,1209,5
2021,,6,783,6
2020,,6,768,6
2019,,6,783,6
2018,,6,786,6
2017,,6,781,6
2016,,6,774,6
2015,,6,741,6
2014,,6,703,6
2013,,6,673,6
2012,,6,656,6
2011,,6,635,6
2010,,6,628,6
2009,,6,594,6
2021,,7,1504,7
2020,,7,1450,7
2019,,7,1486,7
2018,,7,1528,7
2017,,7,1528,7
2016,,7,1505,7
2015,,7,1473,7
2014,,7,1437,7
2013,,7,1434,7
2012,,7,1341,7
2011,,7,1277,7
2010,,7,1224,7
2009,,7,1175,7
2021,,8,1197,8
2020,,8,1146,8
2019,,8,1157,8
2018,,8,1174,8
2017,,8,1168,8
2016,,8,1162,8
2015,,8,1152,8
2014,,8,1127,8
2013,,8,1065,8
2012,,8,1012,8
2011,,8,984,8
2010,,8,898,8
2009,,8,855,8
2021,,9,1239,9
2020,,9,1200,9
2019,,9,1212,9
2018,,9,1162,9
2017,,9,1173,9
2016,,9,1169,9
2015,,9,1117,9
2014,,9,1085,9
2013,,9,1088,9
2012,,9,1039,9
2011,,9,1033,9
2010,,9,1000,9
2009,,9,944,9
2021,,10,1753,10
2020,,10,1640,10
2019,,10,1683,10
2018,,10,1677,10
2017,,10,1652,10
2016,,10,1611,10
2015,,10,1587,10
2014,,10,1551,10
2013,,10,1506,10
2012,,10,1447,10
2011,,10,1403,10
2010,,10,1335,10
2009,,10,1269,10
2021,,11,1461,11
2020,,11,1428,11
2019,,11,1472,11
2018,,11,1509,11
2017,,11,1500,11
2016,,11,1497,11
2015,,11,1467,11
2014,,11,1433,11
2013,,11,1423,11
2012,,11,1404,11
2011,,11,1374,11
2010,,11,1341,11
2009,,11,1315,11
2021,,12,1344,12
2020,,12,1281,12
2019,,12,1291,12
2018,,12,1275,12
