Year,GeoCode,Value
2019,,21.62
2018,,21.75
2017,,22.3
2016,,22.5
2015,,22.7
2019,1,16.19
2018,1,16.2
2017,1,18.2
2016,1,17.6
2015,1,18.1
2019,2,17.03
2018,2,17.3
2017,2,18.3
2016,2,18.9
2015,2,19.5
2019,3,22.44
2018,3,22.7
2017,3,23.5
2016,3,23.8
2015,3,23.9
2019,4,21.32
2018,4,21.5
2017,4,21.3
2016,4,21
2015,4,20.9
2019,5,25.53
2018,5,26
2017,5,26.7
2016,5,26.9
2015,5,27.2
2019,6,19.19
2018,6,19.2
2017,6,19.8
2016,6,20.5
2015,6,19.7
2019,7,26.26
2018,7,26.9
2017,7,27.5
2016,7,28.2
2015,7,28.9
2019,8,23.66
2018,8,23.5
2017,8,23.7
2016,8,23.9
2015,8,23.4
2019,9,24.24
2018,9,24.3
2017,9,24.4
2016,9,24.6
2015,9,24.5
2019,10,22.99
2018,10,23.4
2017,10,23.9
2016,10,24.3
2015,10,24.4
2019,11,23.77
2018,11,24
2017,11,24.8
2016,11,24.9
2015,11,25.2
2019,12,18.54
2018,12,18.6
2017,12,18.9
2016,12,19.1
2015,12,19.6
2019,13,26.73
2018,13,26.2
2017,13,26.3
2016,13,26.1
2015,13,25.7
2019,14,23.1
2018,14,22.9
2017,14,23
2016,14,23
2015,14,22.2
2019,15,20.03
2018,15,20.2
2017,15,20.8
2016,15,21.2
2015,15,21.6
2019,16,19.79
2018,16,20.1
2017,16,21
2016,16,20.8
2015,16,21.2
2019,17,17.35
2018,17,16.7
2017,17,17.9
2016,17,17.6
2015,17,17.8
2019,18,21.73
2018,18,21.9
2017,18,21.6
2016,18,22.3
2015,18,22.3
2019,19,20.87
2018,19,21
2017,19,21.6
2016,19,21.6
2015,19,21.9
