Year,Gender,Age,GeoCode,Value
2016,,,,7.7
2017,,,,22.7
2018,,,,25.72
2019,,,,23.37
2020,,,,29.22
2016,Men,,,7.3
2017,Men,,,22.86
2018,Men,,,25.69
2019,Men,,,23.95
2020,Men,,,29.87
2016,Women,,,8.06
2017,Women,,,22.56
2018,Women,,,25.75
2019,Women,,,22.85
2020,Women,,,28.64
2016,,16 a 34,,7.85
2017,,16 a 34,,25.23
2018,,16 a 34,,29
2019,,16 a 34,,24.14
2020,,16 a 34,,28.29
2016,,35 a 64,,8.67
2017,,35 a 64,,27.06
2018,,35 a 64,,32.18
2019,,35 a 64,,29.09
2020,,35 a 64,,38.91
2016,,>=65,,5.4
2017,,>=65,,10.66
2018,,>=65,,8.51
2019,,>=65,,10.47
2020,,>=65,,9.81
2016,,,1,10.32
2017,,,1,33.22
2018,,,1,31.29
2019,,,1,28.83
2020,,,1,32.77
2016,,,2,3.47
2017,,,2,21.76
2018,,,2,25.8
2019,,,2,25.81
2020,,,2,33.84
2016,,,3,4.73
2017,,,3,25.62
2018,,,3,27.78
2019,,,3,25.27
2020,,,3,35.11
2016,,,4,4.05
2017,,,4,20.51
2018,,,4,28.34
2019,,,4,20.63
2020,,,4,32.74
2016,,,5,7.31
2017,,,5,19.84
2018,,,5,31.59
2019,,,5,26.68
2020,,,5,30.47
2016,,,6,2.98
2017,,,6,15.8
2018,,,6,19.67
2019,,,6,17.01
2020,,,6,27.27
2016,,,7,3.26
2017,,,7,12.13
2018,,,7,17.34
2019,,,7,14.7
2020,,,7,19.18
2016,,,8,8.41
2017,,,8,28.28
2018,,,8,24.78
2019,,,8,28.78
2020,,,8,33.81
2016,,,9,10.56
2017,,,9,18.87
2018,,,9,17.24
2019,,,9,23.89
2020,,,9,24.12
2016,,,10,5.12
2017,,,10,13.31
2018,,,10,24.62
2019,,,10,20.69
2020,,,10,27.72
2016,,,11,7.56
2017,,,11,12.82
2018,,,11,17.57
2019,,,11,16.59
2020,,,11,16.82
2016,,,12,5.36
2017,,,12,17.48
2018,,,12,21.42
2019,,,12,21.39
2020,,,12,31.24
2016,,,13,4.91
2017,,,13,25.07
2018,,,13,22.59
2019,,,13,22.83
2020,,,13,27.01
2016,,,14,14.38
2017,,,14,30.29
2018,,,14,31.69
2019,,,14,31.79
2020,,,14,36.28
2016,,,15,4.15
2017,,,15,19.62
2018,,,15,23.1
2019,,,15,17.81
2020,,,15,19.42
2016,,,16,3.05
2017,,,16,13.59
2018,,,16,20.27
2019,,,16,14.97
2020,,,16,24.37
2016,,,17,128.57
2017,,,17,225.74
2018,,,17,138.35
2019,,,17,93.82
2020,,,17,73.85
2016,,,18,9.17
2017,,,18,30.38
2018,,,18,41.75
2019,,,18,35.76
2020,,,18,46.78
2016,,,19,28.41
2017,,,19,64.7
2018,,,19,58.22
2019,,,19,42.31
2020,,,19,54.88
