Year,Gender,Age,Value
2019,,,19
2018,,,14
2017,,,8
2016,,,14
2015,,,17
2014,,,24
2013,,,14
2012,,,24
2011,,,14
2010,,,16
2009,,,17
2021,,,800180
2020,,,801545
2019,,,795736
2018,,,798538
2017,,,792086
2016,,,791632
2015,,,787266
2014,,,787301
2013,,,794228
2012,,,799188
2011,,,800469
2010,,,810444
2009,,,815440
2020,,,800862.5
2019,,,798640.5
2018,,,797137
2017,,,795312
2016,,,791859
2015,,,789449
2014,,,787283.5
2013,,,790764.5
2012,,,796708
2011,,,799828.5
2010,,,805456.5
2009,,,812942
2019,,,2.38
2018,,,1.76
2017,,,1.01
2016,,,1.77
2015,,,2.15
2014,,,3.05
2013,,,1.77
2012,,,3.01
2011,,,1.75
2010,,,1.99
2009,,,2.09
2019,Men,,12
2018,Men,,6
2017,Men,,5
2016,Men,,9
2015,Men,,11
2014,Men,,18
2013,Men,,9
2012,Men,,18
2011,Men,,9
2010,Men,,13
2009,Men,,14
2021,Men,,380275
2020,Men,,381117
2019,Men,,378431
2018,Men,,380807
2017,Men,,377718
2016,Men,,378282
2015,Men,,376142
2014,Men,,375952
2013,Men,,380127
2012,Men,,383245
2011,Men,,384159
2010,Men,,390293
2009,Men,,393358
2020,Men,,380696
2019,Men,,379774
2018,Men,,379619
2017,Men,,379262.5
2016,Men,,378000
2015,Men,,377212
2014,Men,,376047
2013,Men,,378039.5
2012,Men,,381686
2011,Men,,383702
2010,Men,,387226
2009,Men,,391825.5
2019,Men,,3.16
2018,Men,,1.58
2017,Men,,1.32
2016,Men,,2.38
2015,Men,,2.92
2014,Men,,4.79
2013,Men,,2.38
2012,Men,,4.72
2011,Men,,2.35
2010,Men,,3.36
2009,Men,,3.57
2019,Women,,7
2018,Women,,8
2017,Women,,3
2016,Women,,5
2015,Women,,6
2014,Women,,6
2013,Women,,5
2012,Women,,6
2011,Women,,5
2010,Women,,3
2009,Women,,3
2021,Women,,419905
2020,Women,,420428
2019,Women,,417305
2018,Women,,417731
2017,Women,,414368
2016,Women,,413350
2015,Women,,411124
2014,Women,,411349
2013,Women,,414101
2012,Women,,415943
2011,Women,,416310
2010,Women,,420151
2009,Women,,422082
2020,Women,,420166.5
2019,Women,,418866.5
2018,Women,,417518
2017,Women,,416049.5
2016,Women,,413859
2015,Women,,412237
2014,Women,,411236.5
2013,Women,,412725
2012,Women,,415022
2011,Women,,416126.5
2010,Women,,418230.5
2009,Women,,421116.5
2019,Women,,1.67
2018,Women,,1.92
2017,Women,,0.72
2016,Women,,1.21
2015,Women,,1.46
2014,Women,,1.46
2013,Women,,1.21
2012,Women,,1.45
2011,Women,,1.2
2010,Women,,0.72
2009,Women,,0.71
2019,,<30,3
2018,,<30,0
2017,,<30,0
2016,,<30,2
2015,,<30,0
2014,,<30,2
2013,,<30,2
2012,,<30,1
2011,,<30,1
2010,,<30,1
2009,,<30,1
2021,,<30,231265
2020,,<30,232597
2019,,<30,230702
2018,,<30,231000
2017,,<30,228713
2016,,<30,228669
2015,,<30,228292
2014,,<30,230450
2013,,<30,236155
2012,,<30,241319
2011,,<30,245161
2010,,<30,252643
2009,,<30,259667
2020,,<30,231931
2019,,<30,231649.5
2018,,<30,230851
2017,,<30,229856.5
2016,,<30,228691
2015,,<30,228480.5
2014,,<30,229371
2013,,<30,233302.5
2012,,<30,238737
2011,,<30,243240
2010,,<30,248902
2009,,<30,256155
2019,,<30,1.3
2018,,<30,0
2017,,<30,0
2016,,<30,0.87
2015,,<30,0
2014,,<30,0.87
2013,,<30,0.86
2012,,<30,0.42
2011,,<30,0.41
2010,,<30,0.4
2009,,<30,0.39
2019,,30 a 69,14
2018,,30 a 69,8
2017,,30 a 69,3
2016,,30 a 69,10
2015,,30 a 69,15
2014,,30 a 69,18
2013,,30 a 69,8
2012,,30 a 69,20
2011,,30 a 69,13
2010,,30 a 69,14
2009,,30 a 69,16
2021,,30 a 69,443306
2020,,30 a 69,444573
2019,,30 a 69,443420
2018,,30 a 69,447987
2017,,30 a 69,445716
2016,,30 a 69,447409
2015,,30 a 69,445680
2014,,30 a 69,445536
2013,,30 a 69,448634
2012,,30 a 69,449432
2011,,30 a 69,447498
2010,,30 a 69,452663
2009,,30 a 69,450097
2020,,30 a 69,443939.5
2019,,30 a 69,443996.5
2018,,30 a 69,445703.5
2017,,30 a 69,446851.5
2016,,30 a 69,446562.5
2015,,30 a 69,446544.5
2014,,30 a 69,445608
2013,,30 a 69,447085
2012,,30 a 69,449033
2011,,30 a 69,448465
2010,,30 a 69,450080.5
2009,,30 a 69,451380
2019,,30 a 69,3.15
2018,,30 a 69,1.79
2017,,30 a 69,0.67
2016,,30 a 69,2.24
2015,,30 a 69,3.36
2014,,30 a 69,4.04
2013,,30 a 69,1.79
2012,,30 a 69,4.45
2011,,30 a 69,2.9
2010,,30 a 69,3.11
2009,,30 a 69,3.54
2019,,>=70,2
