Year,GeoCode,Value
2021,,12.98
2020,,12.86
2019,,11.69
2018,,10.27
2017,,11.57
2016,,9.94
2015,,12.98
2014,,10.75
2013,,11.46
2012,,12.32
2011,,13.84
2010,,14.08
2009,,14.54
2021,1,10.41
2020,1,11.19
2019,1,10.68
2018,1,8.85
2017,1,11.31
2016,1,8.84
2015,1,11.89
2014,1,9.42
2013,1,10.25
2012,1,11.43
2011,1,12.07
2010,1,13.11
2009,1,11.36
2021,2,12.15
2020,2,11.55
2019,2,10.47
2018,2,8.81
2017,2,10.75
2016,2,9.77
2015,2,12.63
2014,2,10.27
2013,2,11.68
2012,2,12.03
2011,2,13.66
2010,2,12.02
2009,2,11.67
2021,3,14.99
2020,3,15.45
2019,3,12.91
2018,3,11
2017,3,11.82
2016,3,10.94
2015,3,14.04
2014,3,11.24
2013,3,11.4
2012,3,11.76
2011,3,14.46
2010,3,14.52
2009,3,13.62
2021,4,13.46
2020,4,13.72
2019,4,10.91
2018,4,10.2
2017,4,12.47
2016,4,10.22
2015,4,15.41
2014,4,12.11
2013,4,12.84
2012,4,12.73
2011,4,13.67
2010,4,14.13
2009,4,14.45
2021,5,16.11
2020,5,15.68
2019,5,13.52
2018,5,12.22
2017,5,13.19
2016,5,12.2
2015,5,16.07
2014,5,12.09
2013,5,12.8
2012,5,13.29
2011,5,13.95
2010,5,14.04
2009,5,13.84
2021,6,11.7
2020,6,11.25
2019,6,9.65
2018,6,8.08
2017,6,9.72
2016,6,7.8
2015,6,13.75
2014,6,10.39
2013,6,10.71
2012,6,9.88
2011,6,10.86
2010,6,10.13
2009,6,10.24
2021,7,14.8
2020,7,13.9
2019,7,12.78
2018,7,12.3
2017,7,14.09
2016,7,11.31
2015,7,13.54
2014,7,12.25
2013,7,10.76
2012,7,11.07
2011,7,14.75
2010,7,14.32
2009,7,14.76
2021,8,13.83
2020,8,14.74
2019,8,13.4
2018,8,9.69
2017,8,11.32
2016,8,10.84
2015,8,13.82
2014,8,11.27
2013,8,12.1
2012,8,13.3
2011,8,16.18
2010,8,17
2009,8,16.66
2021,9,15.87
2020,9,15.13
2019,9,13.7
2018,9,12.46
2017,9,12.59
2016,9,9.32
2015,9,12.66
2014,9,11.24
2013,9,11.47
2012,9,13.86
2011,9,16.13
2010,9,16.46
2009,9,18.01
2021,10,13.02
2020,10,12.02
2019,10,12.96
2018,10,11.17
2017,10,12.66
2016,10,10.45
2015,10,12.73
2014,10,10.97
2013,10,11.11
2012,10,13.21
2011,10,14.34
2010,10,14.95
2009,10,15.62
2021,11,7.91
2020,11,8.52
2019,11,8.64
2018,11,7.55
2017,11,7.68
2016,11,7.22
2015,11,8.01
2014,11,6.57
2013,11,7.65
2012,11,9.24
2011,11,10.96
2010,11,11.41
2009,11,12.95
2021,12,11.55
2020,12,10.94
2019,12,10.23
2018,12,8.18
2017,12,10.34
2016,12,7.48
2015,12,10.85
2014,12,8.42
2013,12,9.83
2012,12,10.55
2011,12,12.1
2010,12,12.07
2009,12,12.72
2021,13,12.14
2020,13,12.37
2019,13,9.09
2018,13,9.47
2017,13,9.93
2016,13,10.35
2015,13,12.72
2014,13,10.37
2013,13,12.15
2012,13,13.27
2011,13,13.72
2010,13,13.37
2009,13,14.25
2021,14,15.94
2020,14,13.2
2019,14,13.32
2018,14,11.17
2017,14,11.42
2016,14,8.63
2015,14,13.3
2014,14,10.85
2013,14,13.77
2012,14,15.08
2011,14,14.91
2010,14,15.83
2009,14,15.09
2021,15,13.45
2020,15,13.69
2019,15,11.79
2018,15,11.41
2017,15,11.4
2016,15,11.24
2015,15,13.57
2014,15,12.08
2013,15,13.15
2012,15,14.47
2011,15,15.27
2010,15,16.48
2009,15,17.06
2021,16,12.86
2020,16,14.34
2019,16,13.2
2018,16,11.85
2017,16,13.83
2016,16,11.83
2015,16,15.45
2014,16,13.69
2013,16,15.24
2012,16,14.57
2011,16,14.79
2010,16,15.85
2009,16,18.36
2021,17,3.61
2020,17,1.39
2019,17,2.73
2018,17,5.62
2017,17,5.15
2016,17,3.61
2015,17,5.37
2014,17,5.25
2013,17,6.18
2012,17,6.14
2011,17,9.36
2010,17,8.3
2009,17,3.73
2021,18,17.26
2020,18,14.91
2019,18,13.62
2018,18,11.23
2017,18,14.27
2016,18,13.05
2015,18,13.59
2014,18,12.49
2013,18,11.82
2012,18,14.47
2011,18,15.99
2010,18,13.86
2009,18,17.06
2021,19,8.01
2020,19,9.92
2019,19,9.26
2018,19,9.43
2017,19,11.24
2016,19,9.35
2015,19,13.4
2014,19,10.45
2013,19,9.44
2012,19,9.58
2011,19,11.29
2010,19,12.37
2009,19,12.13
