Year,Gender,Value
2020,,58.36
2019,,57.18
2018,,58.83
2017,,58.1
2016,,58.71
2015,,57.74
2014,,58.42
2013,,58
2012,,58
2011,,59
2010,,60
2009,,62
2020,,54.26
2019,,57.04
2018,,59.24
2017,,58.55
2016,,58.26
2015,,58.53
2014,,56.97
2013,,58
2012,,57
2011,,58
2010,,59
2009,,61
2020,,56.61
2019,,57.14
2018,,57.38
2017,,59.43
2016,,57.9
2015,,58.48
2014,,57.31
2013,,56
2012,,58
2011,,58
2010,,58
2009,,60
2020,,56.9
2019,,57.38
2018,,57.51
2017,,60.69
2016,,58.56
2015,,59.12
2014,,57.13
2013,,58
2012,,58
2011,,57
2010,,59
2009,,60
2020,Men,65.38
2019,Men,63.51
2018,Men,64.41
2017,Men,63.39
2016,Men,63.69
2015,Men,63.66
2014,Men,64.27
2013,Men,64
2012,Men,62
2011,Men,64
2010,Men,68
2009,Men,70
2020,Men,60.93
2019,Men,64.5
2018,Men,65.44
2017,Men,64.07
2016,Men,61.83
2015,Men,64.76
2014,Men,64.12
2013,Men,65
2012,Men,62
2011,Men,63
2010,Men,67
2009,Men,68
2020,Men,61.45
2019,Men,64.48
2018,Men,64.25
2017,Men,66.34
2016,Men,62.5
2015,Men,64.01
2014,Men,64.36
2013,Men,63
2012,Men,63
2011,Men,62
2010,Men,65
2009,Men,68
2020,Men,60.98
2019,Men,64.18
2018,Men,64.22
2017,Men,66.01
2016,Men,63.16
2015,Men,64.74
2014,Men,62.8
2013,Men,65
2012,Men,63
2011,Men,61
2010,Men,65
2009,Men,67
2020,Women,52.32
2019,Women,51.66
2018,Women,53.91
2017,Women,53.2
2016,Women,54.15
2015,Women,52.43
2014,Women,53.22
2013,Women,52
2012,Women,54
2011,Women,53
2010,Women,52
2009,Women,55
2020,Women,48.52
2019,Women,50.19
2018,Women,53.72
2017,Women,53.5
2016,Women,55.05
2015,Women,52.9
2014,Women,50.47
2013,Women,52
2012,Women,54
2011,Women,53
2010,Women,52
2009,Women,55
2020,Women,52.57
2019,Women,50.5
2018,Women,51.33
2017,Women,53.17
2016,Women,53.69
2015,Women,53.49
2014,Women,51
2013,Women,50
2012,Women,54
2011,Women,54
2010,Women,52
2009,Women,52
2020,Women,53.29
2019,Women,51.26
2018,Women,51.63
2017,Women,56.01
2016,Women,54.34
2015,Women,54.03
2014,Women,51.91
2013,Women,52
2012,Women,53
2011,Women,53
2010,Women,53
2009,Women,54
2020,,56.53
2019,,57.19
2018,,58.24
2017,,59.19
2016,,58.36
2015,,58.47
2014,,57.46
2013,,57.5
2012,,57.75
2011,,58
2010,,59
2009,,60.75
2020,Men,62.18
2019,Men,64.17
2018,Men,64.58
2017,Men,64.95
2016,Men,62.79
2015,Men,64.29
2014,Men,63.89
2013,Men,64.25
2012,Men,62.5
2011,Men,62.5
2010,Men,66.25
2009,Men,68.25
2020,Women,51.67
2019,Women,50.9
2018,Women,52.65
2017,Women,53.97
2016,Women,54.31
2015,Women,53.21
2014,Women,51.65
2013,Women,51.5
2012,Women,53.75
2011,Women,53.25
2010,Women,52.25
2009,Women,54
