Year,Value
2021,419905
2020,420428
2019,417305
2018,417731
2017,414368
2016,413350
2015,411124
2014,411349
2013,414101
2012,415943
2011,416310
2010,420151
2009,422082
2020,420166.5
2019,418866.5
2018,417518
2017,416049.5
2016,413859
2015,412237
2014,411236.5
2013,412725
2012,415022
2011,416126.5
2010,418230.5
2009,421116.5
2020,126.14
2019,137.92
2018,140.52
2017,142.8
2016,132.29
2015,111.3
2014,108.84
2013,106.63
2012,105.63
2011,112.44
2010,119.77
2009,107.78
