Year,Gender,Value
2020,,369293
2019,,385194
2018,,370345
2017,,353960
2016,,339719
2015,,333869
2014,,322944
2013,,325157
2012,,339517
2020,,371492
2019,,386253
2018,,374744
2017,,350587
2016,,338683
2015,,330109
2014,,318690
2013,,319915
2012,,334769
2020,,378435
2019,,382846
2018,,375907
2017,,359579
2016,,342513
2015,,332189
2014,,320767
2013,,317199
2012,,327679
2020,,387132
2019,,391743
2018,,382932
2017,,366102
2016,,351792
2015,,340324
2014,,331967
2013,,322255
2012,,328982
2020,,376588
2019,,386509
2018,,375982
2017,,357557
2016,,343176.75
2015,,334122.75
2014,,323592
2013,,321131.5
2012,,332736.75
2011,,0.13
2020,,54752
2019,,54977
2018,,53749
2017,,52343
2016,,51837
2015,,51024
2014,,49599
2013,,49125
2012,,50115
2020,,54982
2019,,55124
2018,,54307
2017,,52527
2016,,52120
2015,,51493
2014,,50213
2013,,49164
2012,,50031
2020,,55336
2019,,54682
2018,,54202
2017,,52479
2016,,51783
2015,,51128
2014,,50065
2013,,48791
2012,,49312
2020,,55970
2019,,55473
2018,,54896
2017,,52720
2016,,52287
2015,,51635
2014,,50872
2013,,49481
2012,,49235
2020,,55260
2019,,55064
2018,,54288.5
2017,,52517.25
2016,,52006.75
2015,,51320
2014,,50187.25
2013,,49140.25
2012,,49673.25
2011,,0.11
2020,,14.67
2019,,14.25
2018,,14.44
2017,,14.69
2016,,15.15
2015,,15.36
2014,,15.51
2013,,15.3
2012,,14.93
2020,Men,171018
2019,Men,181025
2018,Men,174437
2017,Men,167155
2016,Men,160988
2015,Men,157985
2014,Men,153189
2013,Men,154597
2012,Men,164634
2020,Men,173873
2019,Men,182018
2018,Men,177053
2017,Men,166872
2016,Men,161939
2015,Men,158106
2014,Men,152445
2013,Men,153099
2012,Men,162415
2020,Men,175431
2019,Men,179133
2018,Men,176586
2017,Men,169486
2016,Men,162486
2015,Men,157856
2014,Men,152407
2013,Men,151220
2012,Men,157195
2020,Men,179036
2019,Men,182148
2018,Men,178618
2017,Men,171535
2016,Men,165840
2015,Men,160831
2014,Men,156790
2013,Men,152667
2012,Men,156684
2020,Men,174839.5
2019,Men,181081
2018,Men,176673.5
2017,Men,168762
2016,Men,162813.25
2015,Men,158694.5
2014,Men,153707.75
2013,Men,152895.75
2012,Men,160232
2020,Men,33875
2019,Men,34098
2018,Men,33533
2017,Men,32672
2016,Men,32390
2015,Men,32017
2014,Men,31285
2013,Men,31259
2012,Men,32032
2020,Men,34061
2019,Men,34068
2018,Men,33817
2017,Men,32845
2016,Men,32588
2015,Men,32322
2014,Men,31637
2013,Men,31229
2012,Men,31952
2020,Men,34278
2019,Men,33821
2018,Men,33773
2017,Men,32872
2016,Men,32415
2015,Men,32046
2014,Men,31569
2013,Men,30964
2012,Men,31445
2020,Men,34655
2019,Men,34273
2018,Men,34099
2017,Men,32965
2016,Men,32637
2015,Men,32269
2014,Men,32022
2013,Men,31250
2012,Men,31324
2020,Men,34217.25
2019,Men,34065
2018,Men,33805.5
2017,Men,32838.5
2016,Men,32507.5
2015,Men,32163.5
2014,Men,31628.25
2013,Men,31175.5
2012,Men,31688.25
2020,Men,19.57
2019,Men,18.81
2018,Men,19.13
2017,Men,19.46
2016,Men,19.97
2015,Men,20.27
2014,Men,20.58
2013,Men,20.39
2012,Men,19.78
2011,Men,19.77
2020,Women,198275
2019,Women,204169
2018,Women,195908
2017,Women,186805
2016,Women,178731
2015,Women,175884
2014,Women,169755
2013,Women,170560
2012,Women,174883
2020,Women,197619
2019,Women,204235
2018,Women,197691
2017,Women,183715
2016,Women,176744
2015,Women,172003
2014,Women,166245
2013,Women,166816
2012,Women,172354
2020,Women,203004
2019,Women,203713
2018,Women,199321
2017,Women,190093
2016,Women,180027
2015,Women,174333
2014,Women,168360
2013,Women,165979
2012,Women,170484
2020,Women,208096
2019,Women,209595
2018,Women,204314
2017,Women,194567
2016,Women,185952
2015,Women,179493
2014,Women,175177
2013,Women,169588
2012,Women,172298
2020,Women,201748.5
2019,Women,205428
2018,Women,199308.5
2017,Women,188795
2016,Women,180363.5
2015,Women,175428.25
2014,Women,169884.25
2013,Women,168235.75
2012,Women,172504.75
2020,Women,20877
2019,Women,20879
2018,Women,20216
2017,Women,19671
2016,Women,19447
2015,Women,19007
2014,Women,18314
2013,Women,17866
2012,Women,18083
2020,Women,20921
2019,Women,21056
2018,Women,20490
2017,Women,19682
2016,Women,19532
2015,Women,19171
2014,Women,18576
2013,Women,17935
2012,Women,18079
2020,Women,21058
2019,Women,20861
2018,Women,20429
2017,Women,19607
2016,Women,19368
2015,Women,19082
2014,Women,18496
2013,Women,17827
2012,Women,17867
2020,Women,21315
2019,Women,21200
2018,Women,20797
2017,Women,19755
2016,Women,19650
2015,Women,19366
2014,Women,18850
2013,Women,18231
2012,Women,17911
2020,Women,21042.75
2019,Women,20999
2018,Women,20483
2017,Women,19678.75
2016,Women,19499.25
2015,Women,19156.5
2014,Women,18559
2013,Women,17964.75
2012,Women,17985
2020,Women,10.43
2019,Women,10.22
2018,Women,10.28
2017,Women,10.42
2016,Women,10.81
2015,Women,10.92
2014,Women,10.92
2013,Women,10.68
2012,Women,10.43
2011,Women,10.57
