Year,Value
2020,383773
2019,378383
2018,363157
2017,349929
2016,337656
2015,330472
2014,318858
2013,323823
2012,339409
2011,356269
2010,366200
2009,382685
2020,389493
2019,380702
2018,366218
2017,353131
2016,339207
2015,332413
2014,320757
2013,323683
2012,339026
2011,354868
2010,366213
2009,378890
2020,369244
2019,385107
2018,370280
2017,353904
2016,339657
2015,333802
2014,322870
2013,325026
2012,339154
2011,353827
2010,362871
2009,374837
2020,368949
2019,382788
2018,370583
2017,356120
2016,343341
2015,335010
2014,323156
2013,322395
2012,337236
2011,355503
2010,363204
2009,372728
2020,371422
2019,383903
2018,371795
2017,355372
2016,341441
2015,338236
2014,324556
2013,320412
2012,334548
2011,349713
2010,361948
2009,374330
2020,371426
2019,386192
2018,374672
2017,350495
2016,338570
2015,330017
2014,318567
2013,319748
2012,334347
2011,345673
2010,357047
2009,366659
2020,370863
2019,378809
2018,368402
2017,351148
2016,342921
2015,329666
2014,318542
2013,314641
2012,326955
2011,348395
2010,359916
2009,366521
2020,370698
2019,377421
2018,364524
2017,348541
2016,335497
2015,325322
2014,317383
2013,314013
2012,323457
2011,342343
2010,355036
2009,364413
2020,378363
2019,382695
2018,375786
2017,359525
2016,342414
2015,332095
2014,320667
2013,317026
2012,327463
2011,343551
2010,356297
2009,366508
2020,384571
2019,385852
2018,376350
2017,361006
2016,347508
2015,339507
2014,326640
2013,320745
2012,328277
2011,347838
2010,360550
2009,369954
2020,388970
2019,393974
2018,381469
2017,366904
2016,353211
2015,340964
2014,332193
2013,323982
2012,329032
2011,350610
2010,361505
2009,369999
2020,387082
2019,391705
2018,382871
2017,366071
2016,351733
2015,340249
2014,331922
2013,322179
2012,328841
2011,347955
2010,360189
2009,368715
2020,377904.5
2019,383960.92
2018,372175.58
2017,356012.17
2016,342763
2015,333979.42
2014,323009.25
2013,320639.42
2012,332312.08
2011,349712.08
2010,360914.67
2009,371353.25
2020,20.99
2019,24.89
2018,24.41
2017,24.31
2016,23.56
2015,22.73
2014,22.4
2013,22.84
2012,21.71
2011,25.23
2010,27.1
2009,29.65
