Year,GeoCode,Value
2021,,73981
2020,,72655
2019,,71614
2018,,70769
2017,,69735
2016,,68753
2015,,67707
2014,,66615
2013,,65286
2012,,64129
2011,,63330
2010,,62332
2009,,61272
2021,1.0,2624
2020,1.0,2603
2019,1.0,2578
2018,1.0,2578
2017,1.0,2529
2016,1.0,2567
2015,1.0,2508
2014,1.0,2466
2013,1.0,2445
2012,1.0,2422
2011,1.0,2445
2010,1.0,2427
2009,1.0,2457
2021,2.0,4555
2020,2.0,4512
2019,2.0,4468
2018,2.0,4512
2017,2.0,4476
2016,2.0,4468
2015,2.0,4495
2014,2.0,4482
2013,2.0,4437
2012,2.0,4402
2011,2.0,4357
2010,2.0,4329
2009,2.0,4325
2021,3.0,5231
2020,3.0,5192
2019,3.0,5147
2018,3.0,5125
2017,3.0,5104
2016,3.0,5078
2015,3.0,5048
2014,3.0,4996
2013,3.0,4982
2012,3.0,4929
2011,3.0,4993
2010,3.0,4998
2009,3.0,5008
2021,4.0,3410
2020,4.0,3286
2019,4.0,3164
2018,4.0,3069
2017,4.0,2954
2016,4.0,2871
2015,4.0,2796
2014,4.0,2692
2013,4.0,2582
2012,4.0,2500
2011,4.0,2422
2010,4.0,2336
2009,4.0,2228
2021,5.0,4784
2020,5.0,4718
2019,5.0,4686
2018,5.0,4676
2017,5.0,4682
2016,5.0,4647
2015,5.0,4645
2014,5.0,4622
2013,5.0,4572
2012,5.0,4552
2011,5.0,4513
2010,5.0,4489
2009,5.0,4418
2021,6.0,3019
2020,6.0,2990
2019,6.0,2948
2018,6.0,2919
2017,6.0,2890
2016,6.0,2809
2015,6.0,2738
2014,6.0,2651
2013,6.0,2544
2012,6.0,2480
2011,6.0,2416
2010,6.0,2381
2009,6.0,2281
2021,7.0,4949
2020,7.0,4926
2019,7.0,4883
2018,7.0,4925
2017,7.0,4953
2016,7.0,4934
2015,7.0,4913
2014,7.0,4914
2013,7.0,4884
2012,7.0,4829
2011,7.0,4796
2010,7.0,4776
2009,7.0,4727
2021,8.0,5329
2020,8.0,5171
2019,8.0,4962
2018,8.0,4814
2017,8.0,4657
2016,8.0,4537
2015,8.0,4435
2014,8.0,4376
2013,8.0,4222
2012,8.0,4102
2011,8.0,4035
2010,8.0,3903
2009,8.0,3753
2021,9.0,4821
2020,9.0,4735
2019,9.0,4712
2018,9.0,4603
2017,9.0,4535
2016,9.0,4493
2015,9.0,4342
2014,9.0,4267
2013,9.0,4195
2012,9.0,4094
2011,9.0,4057
2010,9.0,3993
2009,9.0,3922
2021,10.0,6738
2020,10.0,6596
2019,10.0,6568
2018,10.0,6450
2017,10.0,6400
2016,10.0,6241
2015,10.0,6133
2014,10.0,6023
2013,10.0,5885
2012,10.0,5814
2011,10.0,5676
2010,10.0,5565
2009,10.0,5402
2021,11.0,5115
2020,11.0,5014
2019,11.0,4976
2018,11.0,4984
2017,11.0,4938
2016,11.0,4922
2015,11.0,4922
2014,11.0,4877
2013,11.0,4821
2012,11.0,4820
2011,11.0,4835
2010,11.0,4791
2009,11.0,4800
2021,12.0,5376
2020,12.0,5292
2019,12.0,5193
2018,12.0,5092
2017,12.0,5002
2016,12.0,4934
2015,12.0,4862
2014,12.0,4763
2013,12.0,4653
2012,12.0,4560
2011,12.0,4455
2010,12.0,4375
2009,12.0,4237
2021,13.0,3942
2020,13.0,3836
2019,13.0,3727
2018,13.0,3659
2017,13.0,3551
2016,13.0,3447
2015,13.0,3342
2014,13.0,3212
2013,13.0,3098
2012,13.0,2959
2011,13.0,2878
2010,13.0,2767
2009,13.0,2683
2021,14.0,2766
2020,14.0,2716
2019,14.0,2666
2018,14.0,2589
2017,14.0,2506
2016,14.0,2409
2015,14.0,2347
2014,14.0,2286
2013,14.0,2240
2012,14.0,2203
2011,14.0,2155
2010,14.0,2120
2009,14.0,2082
2021,15.0,4165
2020,15.0,4081
2019,15.0,4057
2018,15.0,4005
2017,15.0,3922
2016,15.0,3892
2015,15.0,3834
2014,15.0,3792
2013,15.0,3715
2012,15.0,3613
2011,15.0,3551
2010,15.0,3434
2009,15.0,3382
2021,16.0,3637
2020,16.0,3549
2019,16.0,3519
2018,16.0,3456
2017,16.0,3390
2016,16.0,3321
2015,16.0,3257
2014,16.0,3182
2013,16.0,3071
2012,16.0,2981
2011,16.0,2916
2010,16.0,2840
2009,16.0,2784
2021,17.0,519
2020,17.0,521
2019,17.0,511
2018,17.0,503
2017,17.0,504
2016,17.0,492
2015,17.0,492
2014,17.0,480
2013,17.0,469
2012,17.0,458
2011,17.0,455
2010,17.0,467
2009,17.0,461
2021,18.0,1120
2020,18.0,1089
2019,18.0,1054
2018,18.0,1047
2017,18.0,1037
2016,18.0,1003
2015,18.0,980
2014,18.0,945
2013,18.0,920
2012,18.0,894
2011,18.0,885
2010,18.0,864
2009,18.0,872
2021,19.0,1881
2020,19.0,1828
2019,19.0,1795
2018,19.0,1763
2017,19.0,1705
2016,19.0,1688
2015,19.0,1618
2014,19.0,1589
2013,19.0,1551
2012,19.0,1517
2011,19.0,1490
2010,19.0,1477
2009,19.0,1450
