Year,Sexo,GeoCode,Value
2020,,,3.71
2019,,,2.06
2018,,,2.83
2017,,,3.39
2016,,,2.71
2015,,,1.38
2014,,,3.12
2013,,,2.52
2012,,,2.86
2011,,,2.9
2010,,,3.84
2009,,,3.61
2020,Hombres,,3.49
2019,Hombres,,2.67
2018,Hombres,,4.15
2017,Hombres,,4.36
2016,Hombres,,4.39
2015,Hombres,,1.5
2014,Hombres,,3.43
2013,Hombres,,1.74
2012,Hombres,,4.21
2011,Hombres,,3.62
2010,Hombres,,3.24
2009,Hombres,,4.0
2020,Mujeres,,3.95
2019,Mujeres,,1.42
2018,Mujeres,,1.39
2017,Mujeres,,2.35
2016,Mujeres,,0.93
2015,Mujeres,,1.25
2014,Mujeres,,2.77
2013,Mujeres,,3.34
2012,Mujeres,,1.41
2011,Mujeres,,2.14
2010,Mujeres,,4.47
2009,Mujeres,,3.17
2021,,1.0,0.0
2020,,1.0,11.43
2019,,1.0,0.0
2018,,1.0,5.26
2017,,1.0,4.55
2016,,1.0,4.63
2015,,1.0,0.0
2014,,1.0,0.0
2013,,1.0,4.1
2012,,1.0,4.22
2011,,1.0,0.0
2010,,1.0,4.26
2009,,1.0,0.0
2021,,2.0,4.0
2020,,2.0,3.31
2019,,2.0,0.0
2018,,2.0,0.0
2017,,2.0,0.0
2016,,2.0,3.12
2015,,2.0,3.06
2014,,2.0,3.03
2013,,2.0,2.78
2012,,2.0,5.42
2011,,2.0,2.46
2010,,2.0,2.48
2009,,2.0,2.43
2021,,3.0,0.0
2020,,3.0,0.0
2019,,3.0,0.0
2018,,3.0,2.9
2017,,3.0,5.67
2016,,3.0,2.68
2015,,3.0,0.0
2014,,3.0,2.79
2013,,3.0,0.0
2012,,3.0,4.82
2011,,3.0,0.0
2010,,3.0,2.43
2009,,3.0,0.0
2021,,4.0,5.08
2020,,4.0,0.0
2019,,4.0,0.0
2018,,4.0,0.0
2017,,4.0,0.0
2016,,4.0,2.98
2015,,4.0,0.0
2014,,4.0,2.92
2013,,4.0,2.56
2012,,4.0,0.0
2011,,4.0,2.56
2010,,4.0,0.0
2009,,4.0,0.0
2021,,5.0,0.0
2020,,5.0,2.81
2019,,5.0,0.0
2018,,5.0,6.13
