Year,Sexo,Value
2021,,80.24
2020,,78.03
2019,,76.8
2018,,76.12
2017,,76.22
2016,,74.19
2015,,73.96
2014,,72.07
2013,,73.91
2012,,73.94
2011,,72.0
2010,,71.3
2009,,70.35
2021,Hombres,80.76
2020,Hombres,74.17
2019,Hombres,72.97
2018,Hombres,71.54
2017,Hombres,72.3
2016,Hombres,69.27
2015,Hombres,69.74
2014,Hombres,70.86
2013,Hombres,69.04
2012,Hombres,69.67
2011,Hombres,66.37
2010,Hombres,66.57
2009,Hombres,66.29
2021,Mujeres,79.78
2020,Mujeres,81.55
2019,Mujeres,80.42
2018,Mujeres,80.41
2017,Mujeres,79.9
2016,Mujeres,78.74
2015,Mujeres,77.91
2014,Mujeres,73.32
2013,Mujeres,78.38
2012,Mujeres,77.86
2011,Mujeres,76.82
2010,Mujeres,75.34
2009,Mujeres,73.6
