Year,Sexo,Value
2023,,74.48
2022,,72.53
2021,,69.35
2020,,65.65
2019,,69.28
2018,,67.09
2017,,67.76
2016,,66.59
2015,,66.65
2014,,65.22
2013,,64.47
2012,,65.17
2011,,64.43
2010,,64.06
2009,,61.18
2023,Hombres,74.81
2022,Hombres,72.95
2021,Hombres,69.57
2020,Hombres,65.28
2019,Hombres,69.18
2018,Hombres,66.51
2017,Hombres,67.68
2016,Hombres,66.16
2015,Hombres,65.7
2014,Hombres,64.66
2013,Hombres,64.11
2012,Hombres,64.91
2011,Hombres,63.73
2010,Hombres,61.98
2009,Hombres,59.13
2023,Mujeres,74.13
2022,Mujeres,72.07
2021,Mujeres,69.12
2020,Mujeres,66.04
2019,Mujeres,69.39
2018,Mujeres,67.71
2017,Mujeres,67.84
2016,Mujeres,67.05
2015,Mujeres,67.67
2014,Mujeres,65.81
2013,Mujeres,64.85
2012,Mujeres,65.46
2011,Mujeres,65.17
2010,Mujeres,66.29
2009,Mujeres,63.32
