Year,Sexo,Edad,Value
2023,,,82.84
2021,,,80.06
2020,,,78.56
2019,,,78.78
2017,,,71.38
2016,,,67.05
2015,,,75.14
2014,,,71.56
2012,,,70.98
2023,Hombres,,80.08
2021,Hombres,,83.4
2020,Hombres,,82.58
2019,Hombres,,77.27
2017,Hombres,,77.07
2016,Hombres,,78.83
2015,Hombres,,79.56
2014,Hombres,,75.66
2012,Hombres,,73.44
2023,Mujeres,,85.08
2021,Mujeres,,77.29
2020,Mujeres,,75.19
2019,Mujeres,,80.39
2017,Mujeres,,63.72
2016,Mujeres,,55.71
2015,Mujeres,,71.55
2014,Mujeres,,68.4
2012,Mujeres,,68.68
2023,,<35,91.9
2021,,<35,100.0
2020,,<35,98.31
2019,,<35,96.91
2017,,<35,94.8
2016,,<35,100.0
2015,,<35,100.0
2014,,<35,96.63
2012,,<35,98.13
2023,,35 a 54,91.16
2021,,35 a 54,89.91
2020,,35 a 54,90.09
2019,,35 a 54,89.53
2017,,35 a 54,87.32
2016,,35 a 54,82.96
2015,,35 a 54,81.87
2014,,35 a 54,80.2
2012,,35 a 54,80.94
2023,,55 a 74,66.01
2021,,55 a 74,58.72
2020,,55 a 74,46.6
2019,,55 a 74,57.02
2017,,55 a 74,34.01
2016,,55 a 74,33.78
2015,,55 a 74,48.17
2014,,55 a 74,49.28
2012,,55 a 74,33.98
