Year,GeoCode,Value
2022,,16.26
2021,,12.98
2020,,12.86
2019,,11.69
2018,,10.27
2017,,11.57
2016,,9.94
2015,,12.98
2014,,10.75
2013,,11.46
2012,,12.32
2011,,13.84
2010,,14.08
2009,,14.54
2022,d1,15.65
2021,d1,10.41
2020,d1,11.19
2019,d1,10.68
2018,d1,8.85
2017,d1,11.31
2016,d1,8.84
2015,d1,11.89
2014,d1,9.42
2013,d1,10.25
2012,d1,11.43
2011,d1,12.07
2010,d1,13.11
2009,d1,11.36
2022,d2,15.58
2021,d2,12.15
2020,d2,11.55
2019,d2,10.47
2018,d2,8.81
2017,d2,10.75
2016,d2,9.77
2015,d2,12.63
2014,d2,10.27
2013,d2,11.68
2012,d2,12.03
2011,d2,13.66
2010,d2,12.02
2009,d2,11.67
2022,d3,18.73
2021,d3,14.99
2020,d3,15.45
2019,d3,12.91
2018,d3,11.0
2017,d3,11.82
2016,d3,10.94
2015,d3,14.04
2014,d3,11.24
2013,d3,11.4
2012,d3,11.76
2011,d3,14.46
2010,d3,14.52
2009,d3,13.62
2022,d4,16.76
2021,d4,13.46
2020,d4,13.72
2019,d4,10.91
2018,d4,10.2
2017,d4,12.47
2016,d4,10.22
2015,d4,15.41
2014,d4,12.11
2013,d4,12.84
2012,d4,12.73
2011,d4,13.67
2010,d4,14.13
2009,d4,14.45
2022,d5,19.82
2021,d5,16.11
2020,d5,15.68
2019,d5,13.52
2018,d5,12.22
2017,d5,13.19
2016,d5,12.2
2015,d5,16.07
2014,d5,12.09
2013,d5,12.8
2012,d5,13.29
2011,d5,13.95
2010,d5,14.04
2009,d5,13.84
2022,d6,16.74
2021,d6,11.7
2020,d6,11.25
2019,d6,9.65
2018,d6,8.08
2017,d6,9.72
2016,d6,7.8
2015,d6,13.75
2014,d6,10.39
2013,d6,10.71
2012,d6,9.88
2011,d6,10.86
2010,d6,10.13
2009,d6,10.24
2022,d7,18.54
2021,d7,14.8
2020,d7,13.9
2019,d7,12.78
2018,d7,12.3
2017,d7,14.09
2016,d7,11.31
2015,d7,13.54
2014,d7,12.25
2013,d7,10.76
2012,d7,11.07
2011,d7,14.75
2010,d7,14.32
2009,d7,14.76
2022,d8,17.73
2021,d8,13.83
2020,d8,14.74
2019,d8,13.4
2018,d8,9.69
2017,d8,11.32
2016,d8,10.84
2015,d8,13.82
2014,d8,11.27
2013,d8,12.1
2012,d8,13.3
2011,d8,16.18
2010,d8,17.0
2009,d8,16.66
2022,d9,18.28
2021,d9,15.87
2020,d9,15.13
2019,d9,13.7
2018,d9,12.46
2017,d9,12.59
2016,d9,9.32
2015,d9,12.66
2014,d9,11.24
2013,d9,11.47
2012,d9,13.86
2011,d9,16.13
2010,d9,16.46
2009,d9,18.01
2022,d10,15.79
2021,d10,13.02
2020,d10,12.02
2019,d10,12.96
2018,d10,11.17
2017,d10,12.66
2016,d10,10.45
2015,d10,12.73
2014,d10,10.97
2013,d10,11.11
2012,d10,13.21
2011,d10,14.34
2010,d10,14.95
2009,d10,15.62
2022,d11,10.92
2021,d11,7.91
2020,d11,8.52
2019,d11,8.64
2018,d11,7.55
2017,d11,7.68
2016,d11,7.22
2015,d11,8.01
2014,d11,6.57
2013,d11,7.65
2012,d11,9.24
2011,d11,10.96
2010,d11,11.41
2009,d11,12.95
2022,d12,14.97
2021,d12,11.55
2020,d12,10.94
2019,d12,10.23
2018,d12,8.18
2017,d12,10.34
2016,d12,7.48
2015,d12,10.85
2014,d12,8.42
2013,d12,9.83
2012,d12,10.55
2011,d12,12.1
2010,d12,12.07
2009,d12,12.72
2022,d13,15.73
2021,d13,12.14
2020,d13,12.37
2019,d13,9.09
2018,d13,9.47
2017,d13,9.93
2016,d13,10.35
2015,d13,12.72
2014,d13,10.37
2013,d13,12.15
2012,d13,13.27
2011,d13,13.72
2010,d13,13.37
2009,d13,14.25
2022,d14,20.21
2021,d14,15.94
2020,d14,13.2
2019,d14,13.32
2018,d14,11.17
2017,d14,11.42
2016,d14,8.63
2015,d14,13.3
2014,d14,10.85
2013,d14,13.77
2012,d14,15.08
2011,d14,14.91
2010,d14,15.83
2009,d14,15.09
2022,d15,16.39
2021,d15,13.45
2020,d15,13.69
2019,d15,11.79
2018,d15,11.41
2017,d15,11.4
2016,d15,11.24
2015,d15,13.57
2014,d15,12.08
2013,d15,13.15
2012,d15,14.47
2011,d15,15.27
2010,d15,16.48
2009,d15,17.06
2022,d16,14.81
2021,d16,12.86
2020,d16,14.34
2019,d16,13.2
2018,d16,11.85
2017,d16,13.83
2016,d16,11.83
2015,d16,15.45
2014,d16,13.69
2013,d16,15.24
2012,d16,14.57
2011,d16,14.79
2010,d16,15.85
2009,d16,18.36
2022,d18,18.19
2021,d18,17.26
2020,d18,14.91
2019,d18,13.62
2018,d18,11.23
2017,d18,14.27
2016,d18,13.05
2015,d18,13.59
2014,d18,12.49
2013,d18,11.82
2012,d18,14.47
2011,d18,15.99
2010,d18,13.86
2009,d18,17.06
