Year,Sexo,Value
2010,,66.44
2011,,68.47
2012,,65.57
2013,,68.19
2014,,69.88
2015,,75.32
2016,,72.25
2017,,78.84
2018,,82.9
2019,,83.09
2020,,83.59
2010,Hombres,67.86
2011,Hombres,70.18
2012,Hombres,70.42
2013,Hombres,74.81
2014,Hombres,79.29
2015,Hombres,82.06
2016,Hombres,83.31
2017,Hombres,83.84
2018,Hombres,89.12
2019,Hombres,86.92
2020,Hombres,84.21
2010,Mujeres,65.1
2011,Mujeres,66.69
2012,Mujeres,61.03
2013,Mujeres,63.22
2014,Mujeres,63.56
2015,Mujeres,70.42
2016,Mujeres,62.65
2017,Mujeres,72.61
2018,Mujeres,76.82
2019,Mujeres,79.11
2020,Mujeres,83.03
