Year,Value
2020,801545.0
2019,795736.0
2018,798538.0
2017,792086.0
2016,791632.0
2015,787266.0
2014,787301.0
2013,794228.0
2012,799188.0
2011,800469.0
2010,810444.0
2009,815440.0
2020,800863.0
2019,798640.5
2018,797137.0
2017,795312.0
2016,791859.0
2015,789449.0
2014,787283.5
2013,790764.5
2012,796708.0
2011,799828.5
2010,805456.5
2009,812942.0
2020,686746.0
2019,723918.11
2018,760987.45
2017,727051.0
2016,651215.0
2015,727402.0
2014,745656.0
2013,721009.82
2012,766777.42
2011,813770.0
2010,834931.0
2009,853381.0
2020,2.35
2019,2.48
2018,2.62
2017,2.5
2016,2.25
2015,2.52
2014,2.59
2013,2.5
2012,2.64
2011,2.79
2010,2.84
2009,2.88
