Year,Sexo,GeoCode,Value
2009,,,15837
2010,,,16415
2011,,,16966
2012,,,17399
2013,,,17928
2014,,,18356
2015,,,18701
2016,,,19011
2017,,,19124
2018,,,19177
2019,,,18992
2020,,,18641
2021,,,19291
2009,Hombres,,2843
2010,Hombres,,2902
2011,Hombres,,3009
2012,Hombres,,3055
2013,Hombres,,3181
2014,Hombres,,3229
2015,Hombres,,3317
2016,Hombres,,3462
2017,Hombres,,3581
2018,Hombres,,3620
2019,Hombres,,3600
2020,Hombres,,3514
2021,Hombres,,3640
2009,Mujeres,,12994
2010,Mujeres,,13513
2011,Mujeres,,13957
2012,Mujeres,,14344
2013,Mujeres,,14747
2014,Mujeres,,15127
2015,Mujeres,,15384
2016,Mujeres,,15549
2017,Mujeres,,15543
2018,Mujeres,,15557
2019,Mujeres,,15392
2020,Mujeres,,15127
2021,Mujeres,,15651
2009,,1.0,789
2010,,1.0,778
2011,,1.0,792
2012,,1.0,809
2013,,1.0,818
2014,,1.0,819
2015,,1.0,809
2016,,1.0,817
2017,,1.0,795
2018,,1.0,780
2019,,1.0,752
2020,,1.0,726
2021,,1.0,718
2009,,2.0,1406
2010,,2.0,1431
2011,,2.0,1463
2012,,2.0,1470
2013,,2.0,1460
2014,,2.0,1495
2015,,2.0,1481
2016,,2.0,1474
2017,,2.0,1467
2018,,2.0,1436
2019,,2.0,1374
2020,,2.0,1338
2021,,2.0,1355
2009,,3.0,1529
2010,,3.0,1531
2011,,3.0,1560
2012,,3.0,1568
2013,,3.0,1600
2014,,3.0,1625
2015,,3.0,1640
2016,,3.0,1654
2017,,3.0,1636
2018,,3.0,1611
2019,,3.0,1591
2020,,3.0,1572
2021,,3.0,1594
2009,,4.0,494
2010,,4.0,542
2011,,4.0,581
2012,,4.0,587
2013,,4.0,587
2014,,4.0,602
2015,,4.0,622
2016,,4.0,647
2017,,4.0,668
2018,,4.0,680
2019,,4.0,663
2020,,4.0,666
2021,,4.0,698
2009,,5.0,1209
2010,,5.0,1262
2011,,5.0,1282
2012,,5.0,1316
2013,,5.0,1358
2014,,5.0,1377
2015,,5.0,1383
2016,,5.0,1352
2017,,5.0,1351
2018,,5.0,1341
2019,,5.0,1326
2020,,5.0,1323
2021,,5.0,1367
2009,,6.0,594
2010,,6.0,628
2011,,6.0,635
2012,,6.0,656
2013,,6.0,673
2014,,6.0,703
2015,,6.0,741
2016,,6.0,774
2017,,6.0,781
2018,,6.0,786
2019,,6.0,783
2020,,6.0,768
2021,,6.0,783
2009,,7.0,1175
2010,,7.0,1224
2011,,7.0,1277
2012,,7.0,1341
2013,,7.0,1434
2014,,7.0,1437
2015,,7.0,1473
2016,,7.0,1505
2017,,7.0,1528
2018,,7.0,1528
2019,,7.0,1486
2020,,7.0,1450
2021,,7.0,1504
2009,,8.0,855
2010,,8.0,898
2011,,8.0,984
2012,,8.0,1012
2013,,8.0,1065
2014,,8.0,1127
2015,,8.0,1152
2016,,8.0,1162
2017,,8.0,1168
2018,,8.0,1174
2019,,8.0,1157
2020,,8.0,1146
2021,,8.0,1197
2009,,9.0,944
2010,,9.0,1000
2011,,9.0,1033
2012,,9.0,1039
2013,,9.0,1088
2014,,9.0,1085
2015,,9.0,1117
2016,,9.0,1169
2017,,9.0,1173
2018,,9.0,1162
2019,,9.0,1212
2020,,9.0,1200
2021,,9.0,1239
2009,,10.0,1269
2010,,10.0,1335
2011,,10.0,1403
2012,,10.0,1447
2013,,10.0,1506
2014,,10.0,1551
2015,,10.0,1587
2016,,10.0,1611
2017,,10.0,1652
2018,,10.0,1677
2019,,10.0,1683
2020,,10.0,1640
2021,,10.0,1753
2009,,11.0,1315
2010,,11.0,1341
2011,,11.0,1374
2012,,11.0,1404
2013,,11.0,1423
2014,,11.0,1433
2015,,11.0,1467
2016,,11.0,1497
2017,,11.0,1500
2018,,11.0,1509
2019,,11.0,1472
2020,,11.0,1428
2021,,11.0,1461
2009,,12.0,1065
2010,,12.0,1113
2011,,12.0,1117
2012,,12.0,1155
2013,,12.0,1198
2014,,12.0,1237
2015,,12.0,1258
2016,,12.0,1264
2017,,12.0,1260
2018,,12.0,1275
2019,,12.0,1291
2020,,12.0,1281
2021,,12.0,1344
2009,,13.0,607
2010,,13.0,669
2011,,13.0,677
2012,,13.0,714
2013,,13.0,761
2014,,13.0,801
2015,,13.0,839
2016,,13.0,857
2017,,13.0,867
2018,,13.0,895
2019,,13.0,857
2020,,13.0,857
2021,,13.0,916
2009,,14.0,518
2010,,14.0,557
2011,,14.0,572
2012,,14.0,589
2013,,14.0,591
2014,,14.0,607
2015,,14.0,616
2016,,14.0,637
2017,,14.0,663
2018,,14.0,660
2019,,14.0,675
2020,,14.0,649
2021,,14.0,663
2009,,15.0,746
2010,,15.0,764
2011,,15.0,828
2012,,15.0,850
2013,,15.0,894
2014,,15.0,937
2015,,15.0,969
2016,,15.0,1007
2017,,15.0,1014
2018,,15.0,1061
2019,,15.0,1039
2020,,15.0,1009
2021,,15.0,1067
2009,,16.0,637
2010,,16.0,649
2011,,16.0,686
2012,,16.0,718
2013,,16.0,730
2014,,16.0,763
2015,,16.0,795
2016,,16.0,822
2017,,16.0,840
2018,,16.0,851
2019,,16.0,844
2020,,16.0,820
2021,,16.0,844
2009,,17.0,133
2010,,17.0,132
2011,,17.0,129
2012,,17.0,130
2013,,17.0,137
2014,,17.0,142
2015,,17.0,145
2016,,17.0,139
2017,,17.0,137
2018,,17.0,142
2019,,17.0,150
2020,,17.0,144
2021,,17.0,141
2009,,18.0,203
2010,,18.0,203
2011,,18.0,203
2012,,18.0,210
2013,,18.0,209
2014,,18.0,217
2015,,18.0,220
2016,,18.0,227
2017,,18.0,225
2018,,18.0,229
2019,,18.0,240
2020,,18.0,241
2021,,18.0,241
2009,,19.0,349
2010,,19.0,358
2011,,19.0,370
2012,,19.0,384
2013,,19.0,396
2014,,19.0,398
2015,,19.0,387
2016,,19.0,396
2017,,19.0,399
2018,,19.0,380
2019,,19.0,397
2020,,19.0,383
2021,,19.0,406
