Year,Sexo,Edad,GeoCode,Value
2019,,,,22.6
2018,,,,25.1
2017,,,,27.5
2016,,,,29.6
2015,,,,30.9
2019,Hombres,,,21.8
2018,Hombres,,,24.2
2017,Hombres,,,26.7
2016,Hombres,,,29.0
2015,Hombres,,,30.5
2019,Mujeres,,,23.3
2018,Mujeres,,,25.9
2017,Mujeres,,,28.3
2016,Mujeres,,,30.1
2015,Mujeres,,,31.2
2019,,<18,,28.9
2018,,<18,,31.2
2017,,<18,,33.8
2016,,<18,,35.9
2015,,<18,,37.2
2019,,18 a 64,,23.5
2018,,18 a 64,,26.1
2017,,18 a 64,,28.6
2016,,18 a 64,,30.9
2015,,18 a 64,,32.3
2019,,>=65,,15.1
2018,,>=65,,17.4
2017,,>=65,,19.5
2016,,>=65,,20.6
2015,,>=65,,21.4
2019,,,1.0,17.8
2018,,,1.0,18.8
2017,,,1.0,20.7
2016,,,1.0,23.4
2015,,,1.0,24.9
2019,,,2.0,13.8
2018,,,2.0,15.2
2017,,,2.0,17.3
2016,,,2.0,19.3
2015,,,2.0,20.5
2019,,,3.0,16.5
2018,,,3.0,18.6
2017,,,3.0,21.0
2016,,,3.0,22.8
2015,,,3.0,23.6
2019,,,4.0,18.0
2018,,,4.0,20.3
2017,,,4.0,21.4
2016,,,4.0,23.4
2015,,,4.0,24.1
2019,,,5.0,24.2
2018,,,5.0,26.9
2017,,,5.0,30.0
2016,,,5.0,32.2
2015,,,5.0,32.9
2019,,,6.0,11.9
2018,,,6.0,13.2
2017,,,6.0,14.7
2016,,,6.0,15.8
2015,,,6.0,16.4
2019,,,7.0,29.7
2018,,,7.0,32.4
2017,,,7.0,34.9
2016,,,7.0,36.6
2015,,,7.0,37.7
2019,,,8.0,19.3
2018,,,8.0,21.8
2017,,,8.0,24.2
2016,,,8.0,25.8
2015,,,8.0,27.5
2019,,,9.0,25.7
2018,,,9.0,28.4
2017,,,9.0,30.7
2016,,,9.0,32.9
2015,,,9.0,34.3
2019,,,10.0,25.9
2018,,,10.0,28.9
2017,,,10.0,31.7
2016,,,10.0,33.8
2015,,,10.0,34.9
2019,,,11.0,28.5
2018,,,11.0,31.4
2017,,,11.0,34.1
2016,,,11.0,36.1
2015,,,11.0,38.0
2019,,,12.0,21.9
2018,,,12.0,24.8
2017,,,12.0,27.4
2016,,,12.0,29.6
2015,,,12.0,31.1
2019,,,13.0,18.8
2018,,,13.0,21.1
2017,,,13.0,22.9
2016,,,13.0,24.0
2015,,,13.0,24.8
2019,,,14.0,19.0
2018,,,14.0,21.9
2017,,,14.0,24.5
2016,,,14.0,26.8
2015,,,14.0,27.3
2019,,,15.0,28.8
2018,,,15.0,31.7
2017,,,15.0,34.8
2016,,,15.0,37.1
2015,,,15.0,38.3
2019,,,16.0,27.0
2018,,,16.0,30.0
2017,,,16.0,32.4
2016,,,16.0,34.7
2015,,,16.0,36.6
2019,,,17.0,17.9
2018,,,17.0,20.4
2017,,,17.0,22.9
2016,,,17.0,25.8
2015,,,17.0,27.0
2019,,,18.0,28.1
2018,,,18.0,32.2
2017,,,18.0,34.5
2016,,,18.0,38.3
2015,,,18.0,40.2
2019,,,19.0,23.7
2018,,,19.0,25.4
2017,,,19.0,28.7
2016,,,19.0,31.9
2015,,,19.0,34.5
