Year,GeoCode,Value
2019,,66.32
2015,,72.12
2011,,69.41
2019,d1,71.82
2015,d1,73.8
2011,d1,72.15
2019,d2,75.17
2015,d2,76.4
2011,d2,75.18
2019,d3,72.45
2015,d3,75.58
2011,d3,74.06
2019,d4,68.45
2015,d4,73.81
2011,d4,70.97
2019,d5,67.16
2015,d5,71.75
2011,d5,70.04
2019,d6,74.53
2015,d6,76.91
2011,d6,76.2
2019,d7,62.25
2015,d7,69.92
2011,d7,68.2
2019,d8,68.96
2015,d8,74.7
2011,d8,70.99
2019,d9,64.75
2015,d9,72.53
2011,d9,68.4
2019,d10,62.64
2015,d10,69.36
2011,d10,66.93
2019,d11,59.24
2015,d11,67.31
2011,d11,63.95
2019,d12,65.29
2015,d12,71.14
2011,d12,67.84
2019,d13,70.0
2015,d13,74.81
2011,d13,71.82
2019,d14,69.33
2015,d14,74.45
2011,d14,70.68
2019,d15,61.33
2015,d15,69.4
2011,d15,65.73
2019,d16,61.82
2015,d16,69.74
2011,d16,65.84
2019,d18,59.86
2015,d18,69.52
2011,d18,65.32
2019,d19,62.4
2015,d19,69.06
2011,d19,67.92
2019,d171,69.63
2015,d171,76.15
2011,d171,73.9
2019,d172,69.63
2015,d172,76.15
2011,d172,73.9
2019,d173,69.63
2015,d173,76.15
2011,d173,73.9
2019,d174,69.63
2015,d174,76.15
2011,d174,73.9
