Year,Sexo,Value
2020,,483.0
2019,,718.0
2018,,789.0
2017,,783.0
2016,,780.0
2015,,664.0
2014,,715.0
2013,,747.0
2012,,719.0
2011,,937.0
2010,,844.0
2021,,800180.0
2020,,801545.0
2019,,795736.0
2018,,798538.0
2017,,792086.0
2016,,791632.0
2015,,787266.0
2014,,787301.0
2013,,794228.0
2012,,799188.0
2011,,800469.0
2010,,810444.0
2009,,815440.0
2020,,800862.5
2019,,798640.5
2018,,797137.0
2017,,795312.0
2016,,791859.0
2015,,789449.0
2014,,787283.5
2013,,790764.5
2012,,796708.0
2011,,799828.5
2010,,805456.5
2009,,812942.0
2020,,60.31
2019,,89.9
2018,,98.98
2017,,98.45
2016,,98.5
2015,,84.11
2014,,90.82
2013,,94.47
2012,,90.25
2011,,117.15
2010,,104.79
2020,Hombres,326.0
2019,Hombres,528.0
2018,Hombres,579.0
2017,Hombres,586.0
2016,Hombres,568.0
2015,Hombres,497.0
2014,Hombres,527.0
2013,Hombres,538.0
2012,Hombres,536.0
2011,Hombres,696.0
2010,Hombres,628.0
2021,Hombres,380275.0
2020,Hombres,381117.0
2019,Hombres,378431.0
2018,Hombres,380807.0
2017,Hombres,377718.0
2016,Hombres,378282.0
2015,Hombres,376142.0
2014,Hombres,375952.0
2013,Hombres,380127.0
2012,Hombres,383245.0
2011,Hombres,384159.0
2010,Hombres,390293.0
2009,Hombres,393358.0
2020,Hombres,380696.0
2019,Hombres,379774.0
2018,Hombres,379619.0
2017,Hombres,379262.5
2016,Hombres,378000.0
2015,Hombres,377212.0
2014,Hombres,376047.0
2013,Hombres,378039.5
2012,Hombres,381686.0
2011,Hombres,383702.0
2010,Hombres,387226.0
2009,Hombres,391825.5
2020,Hombres,85.63
2019,Hombres,139.03
2018,Hombres,152.52
2017,Hombres,154.51
2016,Hombres,150.26
2015,Hombres,131.76
2014,Hombres,140.14
2013,Hombres,142.31
2012,Hombres,140.43
2011,Hombres,181.39
2010,Hombres,162.18
2020,Mujeres,157.0
2019,Mujeres,190.0
2018,Mujeres,210.0
2017,Mujeres,197.0
2016,Mujeres,212.0
2015,Mujeres,167.0
2014,Mujeres,188.0
2013,Mujeres,209.0
2012,Mujeres,183.0
2011,Mujeres,241.0
2010,Mujeres,216.0
2021,Mujeres,419905.0
2020,Mujeres,420428.0
2019,Mujeres,417305.0
2018,Mujeres,417731.0
2017,Mujeres,414368.0
2016,Mujeres,413350.0
2015,Mujeres,411124.0
2014,Mujeres,411349.0
2013,Mujeres,414101.0
2012,Mujeres,415943.0
2011,Mujeres,416310.0
2010,Mujeres,420151.0
2009,Mujeres,422082.0
2020,Mujeres,420166.5
2019,Mujeres,418866.5
2018,Mujeres,417518.0
2017,Mujeres,416049.5
2016,Mujeres,413859.0
2015,Mujeres,412237.0
2014,Mujeres,411236.5
2013,Mujeres,412725.0
2012,Mujeres,415022.0
2011,Mujeres,416126.5
2010,Mujeres,418230.5
2009,Mujeres,421116.5
2020,Mujeres,37.37
2019,Mujeres,45.36
2018,Mujeres,50.3
2017,Mujeres,47.35
2016,Mujeres,51.23
2015,Mujeres,40.51
2014,Mujeres,45.72
2013,Mujeres,50.64
2012,Mujeres,44.09
2011,Mujeres,57.92
2010,Mujeres,51.65
