Year,GeoCode,Value
2009,,14.54
2010,,14.08
2011,,13.84
2012,,12.32
2013,,11.46
2014,,10.75
2015,,12.98
2016,,9.94
2017,,11.57
2018,,10.27
2019,,11.69
2020,,12.86
2021,,12.98
2009,1.0,11.36
2010,1.0,13.11
2011,1.0,12.07
2012,1.0,11.43
2013,1.0,10.25
2014,1.0,9.42
2015,1.0,11.89
2016,1.0,8.84
2017,1.0,11.31
2018,1.0,8.85
2019,1.0,10.68
2020,1.0,11.19
2021,1.0,10.41
2009,2.0,11.67
2010,2.0,12.02
2011,2.0,13.66
2012,2.0,12.03
2013,2.0,11.68
2014,2.0,10.27
2015,2.0,12.63
2016,2.0,9.77
2017,2.0,10.75
2018,2.0,8.81
2019,2.0,10.47
2020,2.0,11.55
2021,2.0,12.15
2009,3.0,13.62
2010,3.0,14.52
2011,3.0,14.46
2012,3.0,11.76
2013,3.0,11.4
2014,3.0,11.24
2015,3.0,14.04
2016,3.0,10.94
2017,3.0,11.82
2018,3.0,11.0
2019,3.0,12.91
2020,3.0,15.45
2021,3.0,14.99
2009,4.0,14.45
2010,4.0,14.13
2011,4.0,13.67
2012,4.0,12.73
2013,4.0,12.84
2014,4.0,12.11
2015,4.0,15.41
2016,4.0,10.22
2017,4.0,12.47
2018,4.0,10.2
2019,4.0,10.91
2020,4.0,13.72
2021,4.0,13.46
2009,5.0,13.84
2010,5.0,14.04
2011,5.0,13.95
2012,5.0,13.29
2013,5.0,12.8
2014,5.0,12.09
2015,5.0,16.07
2016,5.0,12.2
2017,5.0,13.19
2018,5.0,12.22
2019,5.0,13.52
2020,5.0,15.68
2021,5.0,16.11
2009,6.0,10.24
2010,6.0,10.13
2011,6.0,10.86
2012,6.0,9.88
2013,6.0,10.71
2014,6.0,10.39
2015,6.0,13.75
2016,6.0,7.8
2017,6.0,9.72
2018,6.0,8.08
2019,6.0,9.65
2020,6.0,11.25
2021,6.0,11.7
2009,7.0,14.76
2010,7.0,14.32
2011,7.0,14.75
2012,7.0,11.07
2013,7.0,10.76
2014,7.0,12.25
2015,7.0,13.54
2016,7.0,11.31
2017,7.0,14.09
2018,7.0,12.3
2019,7.0,12.78
2020,7.0,13.9
2021,7.0,14.8
2009,8.0,16.66
2010,8.0,17.0
2011,8.0,16.18
2012,8.0,13.3
2013,8.0,12.1
2014,8.0,11.27
2015,8.0,13.82
2016,8.0,10.84
2017,8.0,11.32
2018,8.0,9.69
2019,8.0,13.4
2020,8.0,14.74
2021,8.0,13.83
2009,9.0,18.01
2010,9.0,16.46
2011,9.0,16.13
2012,9.0,13.86
2013,9.0,11.47
2014,9.0,11.24
2015,9.0,12.66
2016,9.0,9.32
2017,9.0,12.59
2018,9.0,12.46
2019,9.0,13.7
2020,9.0,15.13
2021,9.0,15.87
2009,10.0,15.62
2010,10.0,14.95
2011,10.0,14.34
2012,10.0,13.21
2013,10.0,11.11
2014,10.0,10.97
2015,10.0,12.73
2016,10.0,10.45
2017,10.0,12.66
2018,10.0,11.17
2019,10.0,12.96
2020,10.0,12.02
2021,10.0,13.02
2009,11.0,12.95
2010,11.0,11.41
2011,11.0,10.96
2012,11.0,9.24
2013,11.0,7.65
2014,11.0,6.57
2015,11.0,8.01
2016,11.0,7.22
2017,11.0,7.68
2018,11.0,7.55
2019,11.0,8.64
2020,11.0,8.52
2021,11.0,7.91
2009,12.0,12.72
2010,12.0,12.07
2011,12.0,12.1
2012,12.0,10.55
2013,12.0,9.83
2014,12.0,8.42
2015,12.0,10.85
2016,12.0,7.48
2017,12.0,10.34
2018,12.0,8.18
2019,12.0,10.23
2020,12.0,10.94
2021,12.0,11.55
2009,13.0,14.25
2010,13.0,13.37
2011,13.0,13.72
2012,13.0,13.27
2013,13.0,12.15
2014,13.0,10.37
2015,13.0,12.72
2016,13.0,10.35
2017,13.0,9.93
2018,13.0,9.47
2019,13.0,9.09
2020,13.0,12.37
2021,13.0,12.14
2009,14.0,15.09
2010,14.0,15.83
2011,14.0,14.91
2012,14.0,15.08
2013,14.0,13.77
2014,14.0,10.85
2015,14.0,13.3
2016,14.0,8.63
2017,14.0,11.42
2018,14.0,11.17
2019,14.0,13.32
2020,14.0,13.2
2021,14.0,15.94
2009,15.0,17.06
2010,15.0,16.48
2011,15.0,15.27
2012,15.0,14.47
2013,15.0,13.15
2014,15.0,12.08
2015,15.0,13.57
2016,15.0,11.24
2017,15.0,11.4
2018,15.0,11.41
2019,15.0,11.79
2020,15.0,13.69
2021,15.0,13.45
2009,16.0,18.36
2010,16.0,15.85
2011,16.0,14.79
2012,16.0,14.57
2013,16.0,15.24
2014,16.0,13.69
2015,16.0,15.45
2016,16.0,11.83
2017,16.0,13.83
2018,16.0,11.85
2019,16.0,13.2
2020,16.0,14.34
2021,16.0,12.86
2009,17.0,3.73
2010,17.0,8.3
2011,17.0,9.36
2012,17.0,6.14
2013,17.0,6.18
2014,17.0,5.25
2015,17.0,5.37
2016,17.0,3.61
2017,17.0,5.15
2018,17.0,5.62
2019,17.0,2.73
2020,17.0,1.39
2021,17.0,3.61
2009,18.0,17.06
2010,18.0,13.86
2011,18.0,15.99
2012,18.0,14.47
2013,18.0,11.82
2014,18.0,12.49
2015,18.0,13.59
2016,18.0,13.05
2017,18.0,14.27
2018,18.0,11.23
2019,18.0,13.62
2020,18.0,14.91
2021,18.0,17.26
2009,19.0,12.13
2010,19.0,12.37
2011,19.0,11.29
2012,19.0,9.58
2013,19.0,9.44
2014,19.0,10.45
2015,19.0,13.4
2016,19.0,9.35
2017,19.0,11.24
2018,19.0,9.43
2019,19.0,9.26
2020,19.0,9.92
2021,19.0,8.01
