Year,Sexo,Value
2010,,14.18
2011,,18.53
2012,,21.72
2013,,16.92
2014,,30.81
2015,,34.42
2016,,37.43
2017,,38.55
2018,,46.11
2019,,48.71
2020,,55.51
2010,Hombres,15.36
2011,Hombres,20.3
2012,Hombres,22.89
2013,Hombres,18.47
2014,Hombres,43.39
2015,Hombres,40.57
2016,Hombres,48.46
2017,Hombres,44.42
2018,Hombres,53.03
2019,Hombres,57.92
2020,Hombres,59.93
2010,Mujeres,13.06
2011,Mujeres,16.69
2012,Mujeres,20.63
2013,Mujeres,15.75
2014,Mujeres,22.37
2015,Mujeres,29.94
2016,Mujeres,27.86
2017,Mujeres,31.25
2018,Mujeres,39.36
2019,Mujeres,39.17
2020,Mujeres,51.58
