Year,Sexo,Value
2009,,60.75
2010,,59.0
2011,,58.0
2012,,57.75
2013,,57.5
2014,,57.46
2015,,58.47
2016,,58.36
2017,,59.19
2018,,58.24
2019,,57.19
2020,,56.53
2009,Hombres,68.25
2010,Hombres,66.25
2011,Hombres,62.5
2012,Hombres,62.5
2013,Hombres,64.25
2014,Hombres,63.89
2015,Hombres,64.29
2016,Hombres,62.79
2017,Hombres,64.95
2018,Hombres,64.58
2019,Hombres,64.17
2020,Hombres,62.18
2009,Mujeres,54.0
2010,Mujeres,52.25
2011,Mujeres,53.25
2012,Mujeres,53.75
2013,Mujeres,51.5
2014,Mujeres,51.65
2015,Mujeres,53.21
2016,Mujeres,54.31
2017,Mujeres,53.97
2018,Mujeres,52.65
2019,Mujeres,50.9
2020,Mujeres,51.67
