Year,Sexo,Edad,Value
2012,,,2.98
2013,,,3.02
2014,,,2.47
2015,,,4.73
2016,,,4.81
2017,,,5.03
2018,,,7.26
2019,,,7.37
2020,,,4.23
2012,Hombres,,2.5
2013,Hombres,,1.7
2014,Hombres,,2.21
2015,Hombres,,3.53
2016,Hombres,,3.75
2017,Hombres,,3.32
2018,Hombres,,4.3
2019,Hombres,,5.85
2020,Hombres,,3.43
2012,Mujeres,,3.42
2013,Mujeres,,4.22
2014,Mujeres,,2.71
2015,Mujeres,,5.81
2016,Mujeres,,5.77
2017,Mujeres,,6.57
2018,Mujeres,,9.88
2019,Mujeres,,8.71
2020,Mujeres,,4.92
2012,,<30,2.84
2013,,<30,1.3
2014,,<30,1.54
2015,,<30,2.44
2016,,<30,2.3
2017,,<30,2.3
2018,,<30,6.25
2019,,<30,2.16
2020,,<30,2.21
2012,,30 a 49,2.32
2013,,30 a 49,3.38
2014,,30 a 49,2.32
2015,,30 a 49,5.13
2016,,30 a 49,4.66
2017,,30 a 49,4.68
2018,,30 a 49,6.81
2019,,30 a 49,7.82
2020,,30 a 49,4.27
2012,,>=50,4.34
2013,,>=50,3.0
2014,,>=50,3.12
2015,,>=50,4.9
2016,,>=50,6.07
2017,,>=50,6.78
2018,,>=50,8.43
2019,,>=50,8.93
2020,,>=50,4.99
