Year,Value,GeoCode
2021,38.46,
2020,29.22,
2019,23.37,
2018,25.72,
2017,22.7,
2016,7.7,
2021,40.12,d1
2020,32.77,d1
2019,28.83,d1
2018,31.29,d1
2017,33.22,d1
2016,10.32,d1
2021,42.19,d2
2020,33.84,d2
2019,25.81,d2
2018,25.8,d2
2017,21.76,d2
2016,3.47,d2
2021,45.17,d3
2020,35.11,d3
2019,25.27,d3
2018,27.78,d3
2017,25.62,d3
2016,4.73,d3
2021,42.9,d4
2020,32.74,d4
2019,20.63,d4
2018,28.34,d4
2017,20.51,d4
2016,4.05,d4
2021,40.99,d5
2020,30.47,d5
2019,26.68,d5
2018,31.59,d5
2017,19.84,d5
2016,7.31,d5
2021,33.16,d6
2020,27.27,d6
2019,17.01,d6
2018,19.67,d6
2017,15.8,d6
2016,2.98,d6
2021,27.28,d7
2020,19.18,d7
2019,14.7,d7
2018,17.34,d7
2017,12.13,d7
2016,3.26,d7
2021,44.94,d8
2020,33.81,d8
2019,28.78,d8
2018,24.78,d8
2017,28.28,d8
2016,8.41,d8
2021,31.62,d9
2020,24.12,d9
2019,23.89,d9
2018,17.24,d9
2017,18.87,d9
2016,10.56,d9
2021,38.3,d10
2020,27.72,d10
2019,20.69,d10
2018,24.62,d10
2017,13.31,d10
2016,5.12,d10
2021,24.5,d11
2020,16.82,d11
2019,16.59,d11
2018,17.57,d11
2017,12.82,d11
2016,7.56,d11
2021,39.41,d12
2020,31.24,d12
2019,21.39,d12
2018,21.42,d12
2017,17.48,d12
2016,5.36,d12
2021,36.45,d13
2020,27.01,d13
2019,22.83,d13
2018,22.59,d13
2017,25.07,d13
2016,4.91,d13
2021,51.29,d14
2020,36.28,d14
2019,31.79,d14
2018,31.69,d14
2017,30.29,d14
2016,14.38,d14
2021,29.92,d15
2020,19.42,d15
2019,17.81,d15
2018,23.1,d15
2017,19.62,d15
2016,4.15,d15
2021,31.45,d16
2020,24.37,d16
2019,14.97,d16
2018,20.27,d16
2017,13.59,d16
2016,3.05,d16
2021,50.06,d18
2020,46.78,d18
2019,35.76,d18
2018,41.75,d18
2017,30.38,d18
2016,9.17,d18
2021,61.95,d19
2020,54.88,d19
2019,42.31,d19
2018,58.22,d19
2017,64.7,d19
2016,28.41,d19
2021,103.08,d171
2020,73.85,d171
2019,93.82,d171
2018,138.35,d171
2017,225.74,d171
2016,128.57,d171
2021,103.08,d172
2020,73.85,d172
2019,93.82,d172
2018,138.35,d172
2017,225.74,d172
2016,128.57,d172
2021,103.08,d173
2020,73.85,d173
2019,93.82,d173
2018,138.35,d173
2017,225.74,d173
2016,128.57,d173
2021,103.08,d174
2020,73.85,d174
2019,93.82,d174
2018,138.35,d174
2017,225.74,d174
2016,128.57,d174
