Year,Value,GeoCode
2022,16.26,
2021,12.98,
2020,12.86,
2019,11.69,
2018,10.27,
2017,11.57,
2016,9.94,
2015,12.98,
2014,10.75,
2013,11.46,
2012,12.32,
2011,13.84,
2010,14.08,
2009,14.54,
2022,15.65,d1
2021,10.41,d1
2020,11.19,d1
2019,10.68,d1
2018,8.85,d1
2017,11.31,d1
2016,8.84,d1
2015,11.89,d1
2014,9.42,d1
2013,10.25,d1
2012,11.43,d1
2011,12.07,d1
2010,13.11,d1
2009,11.36,d1
2022,15.58,d2
2021,12.15,d2
2020,11.55,d2
2019,10.47,d2
2018,8.81,d2
2017,10.75,d2
2016,9.77,d2
2015,12.63,d2
2014,10.27,d2
2013,11.68,d2
2012,12.03,d2
2011,13.66,d2
2010,12.02,d2
2009,11.67,d2
2022,18.73,d3
2021,14.99,d3
2020,15.45,d3
2019,12.91,d3
2018,11.0,d3
2017,11.82,d3
2016,10.94,d3
2015,14.04,d3
2014,11.24,d3
2013,11.4,d3
2012,11.76,d3
2011,14.46,d3
2010,14.52,d3
2009,13.62,d3
2022,16.76,d4
2021,13.46,d4
2020,13.72,d4
2019,10.91,d4
2018,10.2,d4
2017,12.47,d4
2016,10.22,d4
2015,15.41,d4
2014,12.11,d4
2013,12.84,d4
2012,12.73,d4
2011,13.67,d4
2010,14.13,d4
2009,14.45,d4
2022,19.82,d5
2021,16.11,d5
2020,15.68,d5
2019,13.52,d5
2018,12.22,d5
2017,13.19,d5
2016,12.2,d5
2015,16.07,d5
2014,12.09,d5
2013,12.8,d5
2012,13.29,d5
2011,13.95,d5
2010,14.04,d5
2009,13.84,d5
2022,16.74,d6
2021,11.7,d6
2020,11.25,d6
2019,9.65,d6
2018,8.08,d6
2017,9.72,d6
2016,7.8,d6
2015,13.75,d6
2014,10.39,d6
2013,10.71,d6
2012,9.88,d6
2011,10.86,d6
2010,10.13,d6
2009,10.24,d6
2022,18.54,d7
2021,14.8,d7
2020,13.9,d7
2019,12.78,d7
2018,12.3,d7
2017,14.09,d7
2016,11.31,d7
2015,13.54,d7
2014,12.25,d7
2013,10.76,d7
2012,11.07,d7
2011,14.75,d7
2010,14.32,d7
2009,14.76,d7
2022,17.73,d8
2021,13.83,d8
2020,14.74,d8
2019,13.4,d8
2018,9.69,d8
2017,11.32,d8
2016,10.84,d8
2015,13.82,d8
2014,11.27,d8
2013,12.1,d8
2012,13.3,d8
2011,16.18,d8
2010,17.0,d8
2009,16.66,d8
2022,18.28,d9
2021,15.87,d9
2020,15.13,d9
2019,13.7,d9
2018,12.46,d9
2017,12.59,d9
2016,9.32,d9
2015,12.66,d9
2014,11.24,d9
2013,11.47,d9
2012,13.86,d9
2011,16.13,d9
2010,16.46,d9
2009,18.01,d9
2022,15.79,d10
2021,13.02,d10
2020,12.02,d10
2019,12.96,d10
2018,11.17,d10
2017,12.66,d10
2016,10.45,d10
2015,12.73,d10
2014,10.97,d10
2013,11.11,d10
2012,13.21,d10
2011,14.34,d10
2010,14.95,d10
2009,15.62,d10
2022,10.92,d11
2021,7.91,d11
2020,8.52,d11
2019,8.64,d11
2018,7.55,d11
2017,7.68,d11
2016,7.22,d11
2015,8.01,d11
2014,6.57,d11
2013,7.65,d11
2012,9.24,d11
2011,10.96,d11
2010,11.41,d11
2009,12.95,d11
2022,14.97,d12
2021,11.55,d12
2020,10.94,d12
2019,10.23,d12
2018,8.18,d12
2017,10.34,d12
2016,7.48,d12
2015,10.85,d12
2014,8.42,d12
2013,9.83,d12
2012,10.55,d12
2011,12.1,d12
2010,12.07,d12
2009,12.72,d12
2022,15.73,d13
2021,12.14,d13
2020,12.37,d13
2019,9.09,d13
2018,9.47,d13
2017,9.93,d13
2016,10.35,d13
2015,12.72,d13
2014,10.37,d13
2013,12.15,d13
2012,13.27,d13
2011,13.72,d13
2010,13.37,d13
2009,14.25,d13
2022,20.21,d14
2021,15.94,d14
2020,13.2,d14
2019,13.32,d14
2018,11.17,d14
2017,11.42,d14
2016,8.63,d14
2015,13.3,d14
2014,10.85,d14
2013,13.77,d14
2012,15.08,d14
2011,14.91,d14
2010,15.83,d14
2009,15.09,d14
2022,16.39,d15
2021,13.45,d15
2020,13.69,d15
2019,11.79,d15
2018,11.41,d15
2017,11.4,d15
2016,11.24,d15
2015,13.57,d15
2014,12.08,d15
2013,13.15,d15
2012,14.47,d15
2011,15.27,d15
2010,16.48,d15
2009,17.06,d15
2022,14.81,d16
2021,12.86,d16
2020,14.34,d16
2019,13.2,d16
2018,11.85,d16
2017,13.83,d16
2016,11.83,d16
2015,15.45,d16
2014,13.69,d16
2013,15.24,d16
2012,14.57,d16
2011,14.79,d16
2010,15.85,d16
2009,18.36,d16
2022,18.19,d18
2021,17.26,d18
2020,14.91,d18
2019,13.62,d18
2018,11.23,d18
2017,14.27,d18
2016,13.05,d18
2015,13.59,d18
2014,12.49,d18
2013,11.82,d18
2012,14.47,d18
2011,15.99,d18
2010,13.86,d18
2009,17.06,d18
