Year,GeoCode,Value
2022,,8057.55
2021,,8082.95
2020,,8096.74
2019,,8038.06
2018,,8066.37
2017,,8071.88
2016,,8067.26
2015,,8022.77
2014,,8023.12
2013,,8093.71
2012,,8144.26
2011,,8157.31
2010,,8258.97
2009,,8251.2
2022,d1,16557.99
2021,d1,16286.98
2020,d1,16223.67
2019,d1,16017.75
2018,d1,16129.59
2017,d1,15863.91
2016,d1,15839.64
2015,d1,15663.91
2014,d1,15515.38
2013,d1,15605.33
2012,d1,15602.37
2011,d1,15298.22
2010,d1,15351.48
2009,d1,15340.99
2022,d2,24623.2
2021,d2,24727.64
2020,d2,24712.06
2019,d2,24592.04
2018,d2,24684.36
2017,d2,24590.31
2016,d2,24469.71
2015,d2,24339.3
2014,d2,24472.59
2013,d2,24720.14
2012,d2,24922.1
2011,d2,24879.98
2010,d2,25339.87
2009,d2,25444.57
2022,d3,24612.58
2021,d3,24709.94
2020,d3,24785.5
2019,d3,24653.65
2018,d3,24727.18
2017,d3,24581.64
2016,d3,24486.31
2015,d3,24446.25
2014,d3,24493.91
2013,d3,24848.38
2012,d3,25039.05
2011,d3,25055.78
2010,d3,25373.23
2009,d3,25329.47
2022,d4,7476.9
2021,d4,7383.35
2020,d4,7395.19
2019,d4,7319.21
2018,d4,7285.99
2017,d4,7101.71
2016,d4,7061.85
2015,d4,6971.99
2014,d4,6935.33
2013,d4,6919.91
2012,d4,6904.49
2011,d4,6851.29
2010,d4,6843.2
2009,d4,6791.65
2022,d5,24183.64
2021,d5,24317.9
2020,d5,24429.53
2019,d5,24224.28
2018,d5,24373.97
2017,d5,24120.88
2016,d5,24083.33
2015,d5,24031.89
2014,d5,24111.63
2013,d5,24494.34
2012,d5,24777.78
2011,d5,24864.71
2010,d5,25372.43
2009,d5,25605.32
2022,d6,17982.28
2021,d6,18114.0
2020,d6,18100.41
2019,d6,18037.8
2018,d6,18137.03
2017,d6,17933.85
2016,d6,17788.54
2015,d6,17793.27
2014,d6,17972.83
2013,d6,18226.82
2012,d6,18217.96
2011,d6,18243.95
2010,d6,18405.2
2009,d6,18630.45
2022,d7,24477.63
2021,d7,24729.01
2020,d7,24761.19
2019,d7,24409.25
2018,d7,24454.0
2017,d7,24047.29
2016,d7,24002.49
2015,d7,23944.75
2014,d7,23985.07
2013,d7,24208.56
2012,d7,24505.23
2011,d7,24740.17
2010,d7,25190.14
2009,d7,25545.95
2022,d8,20117.65
2021,d8,20129.83
2020,d8,20206.4
2019,d8,20112.43
2018,d8,20178.21
2017,d8,19934.28
2016,d8,19914.56
