Year,Gender,Value
2021,,68.84
2020,,60.31
2019,,89.9
2018,,98.98
2017,,98.45
2016,,98.5
2015,,84.11
2014,,90.82
2013,,94.47
2012,,90.25
2011,,117.15
2010,,104.79
2021,Men,106.17
2020,Men,85.63
2019,Men,139.03
2018,Men,152.52
2017,Men,154.51
2016,Men,150.26
2015,Men,131.76
2014,Men,140.14
2013,Men,142.31
2012,Men,140.43
2011,Men,181.39
2010,Men,162.18
2021,Women,35.05
2020,Women,37.37
2019,Women,45.36
2018,Women,50.3
2017,Women,47.35
2016,Women,51.23
2015,Women,40.51
2014,Women,45.72
2013,Women,50.64
2012,Women,44.09
2011,Women,57.92
2010,Women,51.65
