Year,Gender,Value
2021,,85.98
2020,,83.59
2019,,83.09
2018,,82.9
2017,,78.84
2016,,72.25
2015,,75.32
2014,,69.88
2013,,68.19
2012,,65.57
2011,,68.47
2010,,66.44
2021,Men,85.91
2020,Men,84.21
2019,Men,86.92
2018,Men,89.12
2017,Men,83.84
2016,Men,83.31
2015,Men,82.06
2014,Men,79.29
2013,Men,74.81
2012,Men,70.42
2011,Men,70.18
2010,Men,67.86
2021,Women,86.04
2020,Women,83.03
2019,Women,79.11
2018,Women,76.82
2017,Women,72.61
2016,Women,62.65
2015,Women,70.42
2014,Women,63.56
2013,Women,63.22
2012,Women,61.03
2011,Women,66.69
2010,Women,65.1
