Year,Gender,GeoCode,regions,Value
2021,,,,19291
2020,,,,18641
2019,,,,18992
2018,,,,19177
2017,,,,19124
2016,,,,19011
2015,,,,18701
2014,,,,18356
2013,,,,17928
2012,,,,17399
2011,,,,16966
2010,,,,16415
2009,,,,15837
2021,Men,,,3640
2020,Men,,,3514
2019,Men,,,3600
2018,Men,,,3620
2017,Men,,,3581
2016,Men,,,3462
2015,Men,,,3317
2014,Men,,,3229
2013,Men,,,3181
2012,Men,,,3055
2011,Men,,,3009
2010,Men,,,2902
2009,Men,,,2843
2021,Women,,,15651
2020,Women,,,15127
2019,Women,,,15392
2018,Women,,,15557
2017,Women,,,15543
2016,Women,,,15549
2015,Women,,,15384
2014,Women,,,15127
2013,Women,,,14747
2012,Women,,,14344
2011,Women,,,13957
2010,Women,,,13513
2009,Women,,,12994
2021,,1.0,1.0,718
2020,,1.0,1.0,726
2019,,1.0,1.0,752
2018,,1.0,1.0,780
2017,,1.0,1.0,795
2016,,1.0,1.0,817
2015,,1.0,1.0,809
2014,,1.0,1.0,819
2013,,1.0,1.0,818
2012,,1.0,1.0,809
2011,,1.0,1.0,792
2010,,1.0,1.0,778
2009,,1.0,1.0,789
2021,,2.0,2.0,1355
2020,,2.0,2.0,1338
2019,,2.0,2.0,1374
2018,,2.0,2.0,1436
2017,,2.0,2.0,1467
2016,,2.0,2.0,1474
2015,,2.0,2.0,1481
2014,,2.0,2.0,1495
2013,,2.0,2.0,1460
2012,,2.0,2.0,1470
2011,,2.0,2.0,1463
2010,,2.0,2.0,1431
2009,,2.0,2.0,1406
2021,,3.0,3.0,1594
2020,,3.0,3.0,1572
2019,,3.0,3.0,1591
2018,,3.0,3.0,1611
2017,,3.0,3.0,1636
2016,,3.0,3.0,1654
2015,,3.0,3.0,1640
2014,,3.0,3.0,1625
2013,,3.0,3.0,1600
2012,,3.0,3.0,1568
2011,,3.0,3.0,1560
2010,,3.0,3.0,1531
2009,,3.0,3.0,1529
2021,,4.0,4.0,698
2020,,4.0,4.0,666
2019,,4.0,4.0,663
2018,,4.0,4.0,680
2017,,4.0,4.0,668
2016,,4.0,4.0,647
2015,,4.0,4.0,622
2014,,4.0,4.0,602
2013,,4.0,4.0,587
2012,,4.0,4.0,587
2011,,4.0,4.0,581
2010,,4.0,4.0,542
2009,,4.0,4.0,494
2021,,5.0,5.0,1367
2020,,5.0,5.0,1323
2019,,5.0,5.0,1326
2018,,5.0,5.0,1341
2017,,5.0,5.0,1351
2016,,5.0,5.0,1352
2015,,5.0,5.0,1383
2014,,5.0,5.0,1377
2013,,5.0,5.0,1358
2012,,5.0,5.0,1316
2011,,5.0,5.0,1282
2010,,5.0,5.0,1262
2009,,5.0,5.0,1209
2021,,6.0,6.0,783
2020,,6.0,6.0,768
2019,,6.0,6.0,783
2018,,6.0,6.0,786
2017,,6.0,6.0,781
2016,,6.0,6.0,774
2015,,6.0,6.0,741
2014,,6.0,6.0,703
2013,,6.0,6.0,673
2012,,6.0,6.0,656
2011,,6.0,6.0,635
2010,,6.0,6.0,628
2009,,6.0,6.0,594
2021,,7.0,7.0,1504
2020,,7.0,7.0,1450
2019,,7.0,7.0,1486
2018,,7.0,7.0,1528
2017,,7.0,7.0,1528
2016,,7.0,7.0,1505
2015,,7.0,7.0,1473
2014,,7.0,7.0,1437
2013,,7.0,7.0,1434
2012,,7.0,7.0,1341
2011,,7.0,7.0,1277
2010,,7.0,7.0,1224
2009,,7.0,7.0,1175
2021,,8.0,8.0,1197
2020,,8.0,8.0,1146
2019,,8.0,8.0,1157
2018,,8.0,8.0,1174
2017,,8.0,8.0,1168
2016,,8.0,8.0,1162
2015,,8.0,8.0,1152
2014,,8.0,8.0,1127
2013,,8.0,8.0,1065
2012,,8.0,8.0,1012
2011,,8.0,8.0,984
2010,,8.0,8.0,898
2009,,8.0,8.0,855
2021,,9.0,9.0,1239
2020,,9.0,9.0,1200
2019,,9.0,9.0,1212
