Year,Gender,GeoCode,Value
2024,,,48282
2023,,,47319
2022,,,46302
2021,,,45343
2020,,,44293
2019,,,43630
2018,,,43124
2017,,,42554
2016,,,41940
2015,,,41285
2014,,,40757
2013,,,40064
2012,,,39329
2011,,,38874
2010,,,38263
2009,,,37382
2024,Men,,12365
2023,Men,,11968
2022,Men,,11513
2021,Men,,11171
2020,Men,,10769
2019,Men,,10530
2018,Men,,10284
2017,Men,,9968
2016,Men,,9625
2015,Men,,9290
2014,Men,,8981
2013,Men,,8730
2012,Men,,8455
2011,Men,,8273
2010,Men,,8042
2009,Men,,7860
2024,Women,,35917
2023,Women,,35351
2022,Women,,34789
2021,Women,,34172
2020,Women,,33524
2019,Women,,33100
2018,Women,,32840
2017,Women,,32586
2016,Women,,32315
2015,Women,,31995
2014,Women,,31776
2013,Women,,31334
2012,Women,,30874
2011,Women,,30601
2010,Women,,30221
2009,Women,,29522
2024,,d1,1974
2023,,d1,1929
2022,,d1,1896
2021,,d1,1861
2020,,d1,1877
2019,,d1,1854
2018,,d1,1834
2017,,d1,1785
2016,,d1,1799
2015,,d1,1755
2014,,d1,1717
2013,,d1,1694
2012,,d1,1687
2011,,d1,1701
2010,,d1,1694
2009,,d1,1708
2024,,d2,3211
2023,,d2,3153
2022,,d2,3136
2021,,d2,3096
2020,,d2,3061
2019,,d2,3020
2018,,d2,3060
2017,,d2,3042
2016,,d2,3043
2015,,d2,3069
2014,,d2,3070
2013,,d2,3049
2012,,d2,3015
2011,,d2,2974
2010,,d2,2936
2009,,d2,2921
2024,,d3,3597
2023,,d3,3589
2022,,d3,3520
2021,,d3,3470
2020,,d3,3423
2019,,d3,3373
2018,,d3,3350
2017,,d3,3366
2016,,d3,3335
2015,,d3,3313
2014,,d3,3292
2013,,d3,3269
2012,,d3,3238
2011,,d3,3248
2010,,d3,3256
2009,,d3,3254
2024,,d4,2221
2023,,d4,2139
2022,,d4,2065
2021,,d4,1986
2020,,d4,1890
2019,,d4,1818
2018,,d4,1784
2017,,d4,1725
2016,,d4,1670
2015,,d4,1624
2014,,d4,1577
2013,,d4,1517
2012,,d4,1473
2011,,d4,1429
2010,,d4,1371
2009,,d4,1295
2024,,d5,3129
2023,,d5,3106
2022,,d5,3060
2021,,d5,3008
2020,,d5,2974
2019,,d5,2925
2018,,d5,2930
2017,,d5,2942
2016,,d5,2899
2015,,d5,2914
2014,,d5,2920
2013,,d5,2893
2012,,d5,2882
2011,,d5,2864
2010,,d5,2844
2009,,d5,2764
2024,,d6,2010
2023,,d6,1993
2022,,d6,1930
2021,,d6,1879
2020,,d6,1868
2019,,d6,1843
2018,,d6,1832
2017,,d6,1805
2016,,d6,1752
2015,,d6,1715
2014,,d6,1654
2013,,d6,1595
2012,,d6,1548
2011,,d6,1482
2010,,d6,1450
2009,,d6,1387
2024,,d7,3231
2023,,d7,3234
2022,,d7,3160
2021,,d7,3147
2020,,d7,3100
2019,,d7,3079
2018,,d7,3104
2017,,d7,3102
2016,,d7,3060
2015,,d7,3026
2014,,d7,3015
2013,,d7,3012
2012,,d7,2933
2011,,d7,2921
2010,,d7,2958
2009,,d7,2884
2024,,d8,3433
2023,,d8,3282
2022,,d8,3188
2021,,d8,3053
2020,,d8,2920
2019,,d8,2829
2018,,d8,2733
2017,,d8,2646
2016,,d8,2601
2015,,d8,2538
2014,,d8,2541
2013,,d8,2461
2012,,d8,2389
2011,,d8,2350
2010,,d8,2246
2009,,d8,2135
2024,,d9,3027
2023,,d9,2953
2022,,d9,2892
2021,,d9,2845
2020,,d9,2759
2019,,d9,2735
2018,,d9,2660
2017,,d9,2627
2016,,d9,2626
2015,,d9,2542
2014,,d9,2495
2013,,d9,2493
2012,,d9,2416
2011,,d9,2377
2010,,d9,2341
2009,,d9,2311
2024,,d10,4247
2023,,d10,4175
2022,,d10,4116
2021,,d10,4012
2020,,d10,3882
2019,,d10,3860
2018,,d10,3806
2017,,d10,3801
2016,,d10,3693
2015,,d10,3623
2014,,d10,3573
2013,,d10,3474
2012,,d10,3440
2011,,d10,3377
2010,,d10,3330
2009,,d10,3201
2024,,d11,3348
2023,,d11,3297
2022,,d11,3262
2021,,d11,3265
2020,,d11,3204
2019,,d11,3184
2018,,d11,3171
2017,,d11,3141
2016,,d11,3132
2015,,d11,3113
2014,,d11,3105
2013,,d11,3087
2012,,d11,3067
2011,,d11,3087
2010,,d11,3065
2009,,d11,3064
2024,,d12,3482
2023,,d12,3405
2022,,d12,3299
2021,,d12,3236
2020,,d12,3147
2019,,d12,3077
2018,,d12,3049
2017,,d12,2986
2016,,d12,2936
2015,,d12,2889
2014,,d12,2836
2013,,d12,2750
2012,,d12,2684
2011,,d12,2658
2010,,d12,2618
2009,,d12,2517
2024,,d13,2508
2023,,d13,2424
2022,,d13,2370
2021,,d13,2300
2020,,d13,2211
2019,,d13,2152
2018,,d13,2109
2017,,d13,2060
2016,,d13,2032
2015,,d13,1969
2014,,d13,1879
2013,,d13,1815
2012,,d13,1737
2011,,d13,1675
2010,,d13,1598
2009,,d13,1532
2024,,d14,1788
2023,,d14,1728
2022,,d14,1682
2021,,d14,1650
2020,,d14,1622
2019,,d14,1599
2018,,d14,1540
2017,,d14,1496
2016,,d14,1418
2015,,d14,1369
2014,,d14,1355
2013,,d14,1332
2012,,d14,1316
2011,,d14,1301
2010,,d14,1282
2009,,d14,1256
2024,,d15,2611
2023,,d15,2535
2022,,d15,2482
2021,,d15,2451
2020,,d15,2355
2019,,d15,2349
2018,,d15,2330
2017,,d15,2285
2016,,d15,2256
2015,,d15,2212
2014,,d15,2190
2013,,d15,2162
2012,,d15,2089
2011,,d15,2064
2010,,d15,2004
2009,,d15,1939
2024,,d16,2259
2023,,d16,2185
2022,,d16,2133
2021,,d16,2061
2020,,d16,2023
2019,,d16,1996
2018,,d16,1953
2017,,d16,1906
2016,,d16,1857
2015,,d16,1822
2014,,d16,1759
2013,,d16,1733
2012,,d16,1717
2011,,d16,1690
2010,,d16,1622
2009,,d16,1586
2024,,d18,705
2023,,d18,697
2022,,d18,654
2021,,d18,628
2020,,d18,612
2019,,d18,588
2018,,d18,573
2017,,d18,571
2016,,d18,559
2015,,d18,543
2014,,d18,538
2013,,d18,524
2012,,d18,513
2011,,d18,515
2010,,d18,504
2009,,d18,507
2024,,d19,1189
2023,,d19,1182
2022,,d19,1147
2021,,d19,1091
2020,,d19,1054
2019,,d19,1047
2018,,d19,1014
2017,,d19,974
2016,,d19,977
2015,,d19,945
2014,,d19,933
2013,,d19,903
2012,,d19,890
2011,,d19,867
2010,,d19,848
2009,,d19,837
2024,,d171,312
2023,,d171,313
2022,,d171,310
2021,,d171,304
2020,,d171,311
2019,,d171,302
2018,,d171,292
2017,,d171,294
2016,,d171,295
2015,,d171,304
2014,,d171,308
2013,,d171,301
2012,,d171,295
2011,,d171,294
2010,,d171,296
2009,,d171,284
2024,,d172,312
2023,,d172,313
2022,,d172,310
2021,,d172,304
2020,,d172,311
2019,,d172,302
2018,,d172,292
2017,,d172,294
2016,,d172,295
2015,,d172,304
2014,,d172,308
2013,,d172,301
2012,,d172,295
2011,,d172,294
2010,,d172,296
2009,,d172,284
2024,,d173,312
2023,,d173,313
2022,,d173,310
2021,,d173,304
2020,,d173,311
2019,,d173,302
2018,,d173,292
2017,,d173,294
2016,,d173,295
2015,,d173,304
2014,,d173,308
2013,,d173,301
2012,,d173,295
2011,,d173,294
2010,,d173,296
2009,,d173,284
2024,,d174,312
2023,,d174,313
2022,,d174,310
2021,,d174,304
2020,,d174,311
2019,,d174,302
2018,,d174,292
2017,,d174,294
2016,,d174,295
2015,,d174,304
2014,,d174,308
2013,,d174,301
2012,,d174,295
2011,,d174,294
2010,,d174,296
2009,,d174,284
