Year,GeoCode,Value
2009,,4065
2010,,3851
2011,,3617
2012,,3736
2013,,3769
2014,,3650
2015,,3688
2016,,3975
2017,,3593
2018,,3622
2019,,3437
2020,,2417
2009,1.0,278
2010,1.0,326
2011,1.0,287
2012,1.0,279
2013,1.0,189
2014,1.0,223
2015,1.0,176
2016,1.0,236
2017,1.0,191
2018,1.0,181
2019,1.0,164
2020,1.0,148
2009,2.0,337
2010,2.0,294
2011,2.0,304
2012,2.0,253
2013,2.0,290
2014,2.0,261
2015,2.0,275
2016,2.0,310
2017,2.0,244
2018,2.0,214
2019,2.0,304
2020,2.0,237
2009,3.0,339
2010,3.0,338
2011,3.0,313
2012,3.0,313
2013,3.0,376
2014,3.0,396
2015,3.0,364
2016,3.0,358
2017,3.0,381
2018,3.0,342
2019,3.0,297
2020,3.0,147
2009,4.0,288
2010,4.0,314
2011,4.0,256
2012,4.0,275
2013,4.0,247
2014,4.0,226
2015,4.0,285
2016,4.0,291
2017,4.0,185
2018,4.0,252
2019,4.0,258
2020,4.0,140
2009,5.0,283
2010,5.0,323
2011,5.0,226
2012,5.0,237
2013,5.0,174
2014,5.0,170
2015,5.0,260
2016,5.0,222
2017,5.0,180
2018,5.0,183
2019,5.0,171
2020,5.0,139
2009,6.0,469
2010,6.0,492
2011,6.0,472
2012,6.0,487
2013,6.0,324
2014,6.0,309
2015,6.0,443
2016,6.0,506
2017,6.0,206
2018,6.0,233
2019,6.0,221
2020,6.0,141
2009,7.0,149
2010,7.0,286
2011,7.0,144
2012,7.0,133
2013,7.0,236
2014,7.0,211
2015,7.0,135
2016,7.0,129
2017,7.0,266
2018,7.0,271
2019,7.0,214
2020,7.0,163
2009,8.0,234
2010,8.0,115
2011,8.0,213
2012,8.0,232
2013,8.0,231
2014,8.0,225
2015,8.0,256
2016,8.0,289
2017,8.0,197
2018,8.0,222
2019,8.0,158
2020,8.0,76
2009,9.0,205
2010,9.0,100
2011,9.0,164
2012,9.0,181
2013,9.0,108
2014,9.0,89
2015,9.0,181
2016,9.0,189
2017,9.0,144
2018,9.0,113
2019,9.0,90
2020,9.0,29
2009,10.0,309
2010,10.0,289
2011,10.0,280
2012,10.0,372
2013,10.0,313
2014,10.0,265
2015,10.0,261
2016,10.0,317
2017,10.0,300
2018,10.0,294
2019,10.0,274
2020,10.0,204
2009,11.0,181
2010,11.0,301
2011,11.0,127
2012,11.0,139
2013,11.0,137
2014,11.0,137
2015,11.0,184
2016,11.0,236
2017,11.0,255
2018,11.0,302
2019,11.0,302
2020,11.0,184
2009,12.0,221
2010,12.0,152
2011,12.0,169
2012,12.0,211
2013,12.0,256
2014,12.0,279
2015,12.0,187
2016,12.0,211
2017,12.0,242
2018,12.0,242
2019,12.0,259
2020,12.0,192
2009,13.0,119
2010,13.0,56
2011,13.0,134
2012,13.0,141
2013,13.0,122
2014,13.0,119
2015,13.0,89
2016,13.0,94
2017,13.0,116
2018,13.0,145
2019,13.0,128
2020,13.0,171
2009,14.0,28
2010,14.0,39
2011,14.0,27
2012,14.0,30
2013,14.0,158
2014,14.0,124
2015,14.0,38
2016,14.0,37
2017,14.0,135
2018,14.0,136
2019,14.0,129
2020,14.0,99
2009,15.0,219
2010,15.0,142
2011,15.0,211
2012,15.0,192
2013,15.0,174
2014,15.0,180
2015,15.0,189
2016,15.0,214
2017,15.0,167
2018,15.0,160
2019,15.0,132
2020,15.0,145
2009,16.0,91
2010,16.0,41
2011,16.0,67
2012,16.0,77
2013,16.0,134
2014,16.0,123
2015,16.0,81
2016,16.0,53
2017,16.0,115
2018,16.0,111
2019,16.0,120
2020,16.0,64
2009,17.0,25
2010,17.0,24
2011,17.0,24
2012,17.0,24
2013,17.0,21
2014,17.0,26
2015,17.0,25
2016,17.0,25
2017,17.0,55
2018,17.0,50
2019,17.0,59
2020,17.0,10
2009,18.0,34
2010,18.0,17
2011,18.0,21
2012,18.0,26
2013,18.0,43
2014,18.0,33
2015,18.0,37
2016,18.0,29
2017,18.0,18
2018,18.0,21
2019,18.0,29
2020,18.0,13
2009,19.0,146
2010,19.0,114
2011,19.0,110
2012,19.0,134
2013,19.0,174
2014,19.0,193
2015,19.0,114
2016,19.0,122
2017,19.0,138
2018,19.0,99
2019,19.0,71
2020,19.0,52
