Year,Value
2019,126.0
2018,104.0
2017,114.0
2016,130.0
2015,120.0
2014,158.0
2013,119.0
2012,172.0
2011,166.0
2010,201.0
2009,204.0
2021,19274.0
2020,19092.0
2019,18683.0
2018,18088.0
2017,17662.0
2016,17285.0
2015,17040.0
2014,16832.0
2013,17139.0
2012,17449.0
2011,17589.0
2010,17802.0
2009,18116.0
2020,19183.0
2019,18887.5
2018,18385.5
2017,17875.0
2016,17473.5
2015,17162.5
2014,16936.0
2013,16985.5
2012,17294.0
2011,17519.0
2010,17695.5
2009,17959.0
2019,6.67
2018,5.66
2017,6.38
2016,7.44
2015,6.99
2014,9.33
2013,7.01
2012,9.95
2011,9.48
2010,11.36
2009,11.36
