Year,Gender,Value
2021,,80.24
2020,,78.03
2019,,76.8
2018,,76.12
2017,,76.22
2016,,74.19
2015,,73.96
2014,,72.07
2013,,73.91
2012,,73.94
2011,,72.0
2010,,71.3
2009,,70.35
2021,Men,80.76
2020,Men,74.17
2019,Men,72.97
2018,Men,71.54
2017,Men,72.3
2016,Men,69.27
2015,Men,69.74
2014,Men,70.86
2013,Men,69.04
2012,Men,69.67
2011,Men,66.37
2010,Men,66.57
2009,Men,66.29
2021,Women,79.78
2020,Women,81.55
2019,Women,80.42
2018,Women,80.41
2017,Women,79.9
2016,Women,78.74
2015,Women,77.91
2014,Women,73.32
2013,Women,78.38
2012,Women,77.86
2011,Women,76.82
2010,Women,75.34
2009,Women,73.6
