Year,Gender,Age,GeoCode,Value
2022,,,,37.77
2021,,,,38.97
2020,,,,39.94
2019,,,,40.99
2018,,,,42.24
2017,,,,43.19
2016,,,,44.3
2015,,,,44.94
2014,,,,45.7
2022,Men,,,40.8
2021,Men,,,41.9
2020,Men,,,42.74
2019,Men,,,43.63
2018,Men,,,44.81
2017,Men,,,45.58
2016,Men,,,46.64
2015,Men,,,47.09
2014,Men,,,47.63
2022,Women,,,34.9
2021,Women,,,36.19
2020,Women,,,37.29
2019,Women,,,38.48
2018,Women,,,39.78
2017,Women,,,40.9
2016,Women,,,42.04
2015,Women,,,42.87
2014,Women,,,43.85
2022,,25 a 34,,32.56
2021,,25 a 34,,34.53
2020,,25 a 34,,36.26
2019,,25 a 34,,37.8
2018,,25 a 34,,39.51
2017,,25 a 34,,40.88
2016,,25 a 34,,42.19
2015,,25 a 34,,42.67
2014,,25 a 34,,42.95
2022,,35 a 54,,36.29
2021,,35 a 54,,37.32
2020,,35 a 54,,38.04
2019,,35 a 54,,38.9
2018,,35 a 54,,39.95
2017,,35 a 54,,40.65
2016,,35 a 54,,41.66
2015,,35 a 54,,42.23
2014,,35 a 54,,42.94
2022,,55 a 64,,45.34
2021,,55 a 64,,46.45
2020,,55 a 64,,47.49
2019,,55 a 64,,48.79
2018,,55 a 64,,50.35
2017,,55 a 64,,51.67
2016,,55 a 64,,53.1
2015,,55 a 64,,54.34
2014,,55 a 64,,56.0
2022,,,d1,19.34
2021,,,d1,19.88
2020,,,d1,20.57
2019,,,d1,21.55
2018,,,d1,22.08
2017,,,d1,22.9
2016,,,d1,23.6
2015,,,d1,24.24
2014,,,d1,24.89
2022,,,d2,15.0
2021,,,d2,15.74
2020,,,d2,16.38
2019,,,d2,16.97
2018,,,d2,18.29
2017,,,d2,19.19
2016,,,d2,20.25
2015,,,d2,21.23
2014,,,d2,22.19
2022,,,d3,20.44
2021,,,d3,21.4
2020,,,d3,21.94
2019,,,d3,22.79
2018,,,d3,23.99
2017,,,d3,24.94
2016,,,d3,26.09
2015,,,d3,26.17
