Year,Value,GeoCode
2009,37391,
2010,38269,
2011,38884,
2012,39346,
2013,40077,
2014,40770,
2015,41301,
2016,41953,
2017,42570,
2018,43140,
2019,43644,
2020,44303,
2021,45352,
2009,1710,1.0
2010,1696,1.0
2011,1704,1.0
2012,1691,1.0
2013,1697,1.0
2014,1721,1.0
2015,1762,1.0
2016,1805,1.0
2017,1791,1.0
2018,1839,1.0
2019,1858,1.0
2020,1881,1.0
2021,1865,1.0
2009,2922,2.0
2010,2937,2.0
2011,2975,2.0
2012,3016,2.0
2013,3050,2.0
2014,3072,2.0
2015,3070,2.0
2016,3044,2.0
2017,3042,2.0
2018,3061,2.0
2019,3021,2.0
2020,3062,2.0
2021,3097,2.0
2009,3255,3.0
2010,3256,3.0
2011,3249,3.0
2012,3240,3.0
2013,3271,3.0
2014,3293,3.0
2015,3314,3.0
2016,3335,3.0
2017,3366,3.0
2018,3350,3.0
2019,3373,3.0
2020,3423,3.0
2021,3470,3.0
2009,1296,4.0
2010,1371,4.0
2011,1429,4.0
2012,1473,4.0
2013,1517,4.0
2014,1577,4.0
2015,1624,4.0
2016,1670,4.0
2017,1725,4.0
2018,1785,4.0
2019,1819,4.0
2020,1891,4.0
2021,1987,4.0
2009,2764,5.0
2010,2844,5.0
2011,2864,5.0
2012,2882,5.0
2013,2893,5.0
2014,2920,5.0
2015,2914,5.0
2016,2899,5.0
2017,2944,5.0
2018,2932,5.0
2019,2926,5.0
2020,2976,5.0
2021,3010,5.0
2009,1387,6.0
2010,1450,6.0
2011,1482,6.0
2012,1548,6.0
2013,1595,6.0
2014,1654,6.0
2015,1715,6.0
2016,1752,6.0
2017,1805,6.0
2018,1832,6.0
2019,1844,6.0
2020,1868,6.0
2021,1879,6.0
2009,2884,7.0
2010,2958,7.0
2011,2921,7.0
2012,2933,7.0
2013,3013,7.0
2014,3016,7.0
2015,3027,7.0
2016,3061,7.0
2017,3103,7.0
2018,3105,7.0
2019,3080,7.0
2020,3100,7.0
2021,3147,7.0
2009,2135,8.0
2010,2246,8.0
2011,2350,8.0
2012,2390,8.0
2013,2461,8.0
2014,2541,8.0
2015,2538,8.0
2016,2601,8.0
2017,2646,8.0
2018,2733,8.0
2019,2829,8.0
2020,2920,8.0
2021,3053,8.0
2009,2311,9.0
2010,2341,9.0
2011,2377,9.0
2012,2416,9.0
2013,2493,9.0
2014,2495,9.0
2015,2543,9.0
2016,2627,9.0
2017,2628,9.0
2018,2660,9.0
2019,2735,9.0
2020,2759,9.0
2021,2845,9.0
2009,3203,10.0
2010,3332,10.0
2011,3378,10.0
2012,3442,10.0
2013,3475,10.0
2014,3574,10.0
2015,3623,10.0
2016,3693,10.0
2017,3802,10.0
2018,3808,10.0
2019,3861,10.0
2020,3882,10.0
2021,4012,10.0
2009,3065,11.0
2010,3065,11.0
2011,3088,11.0
2012,3069,11.0
2013,3087,11.0
2014,3105,11.0
2015,3113,11.0
2016,3132,11.0
2017,3142,11.0
2018,3172,11.0
2019,3184,11.0
2020,3204,11.0
2021,3265,11.0
2009,2517,12.0
2010,2618,12.0
2011,2658,12.0
2012,2684,12.0
2013,2750,12.0
2014,2836,12.0
2015,2889,12.0
2016,2936,12.0
2017,2986,12.0
2018,3049,12.0
2019,3077,12.0
2020,3147,12.0
2021,3236,12.0
2009,1533,13.0
2010,1599,13.0
2011,1676,13.0
2012,1738,13.0
2013,1816,13.0
2014,1880,13.0
2015,1971,13.0
2016,2034,13.0
2017,2062,13.0
2018,2111,13.0
2019,2154,13.0
2020,2211,13.0
2021,2300,13.0
2009,1256,14.0
2010,1282,14.0
2011,1301,14.0
2012,1316,14.0
2013,1332,14.0
2014,1355,14.0
2015,1369,14.0
2016,1418,14.0
2017,1496,14.0
2018,1540,14.0
2019,1599,14.0
2020,1622,14.0
2021,1650,14.0
2009,1939,15.0
2010,2004,15.0
2011,2065,15.0
2012,2090,15.0
2013,2163,15.0
2014,2190,15.0
2015,2212,15.0
2016,2256,15.0
2017,2285,15.0
2018,2330,15.0
2019,2349,15.0
2020,2355,15.0
2021,2451,15.0
2009,1586,16.0
2010,1622,16.0
2011,1691,16.0
2012,1719,16.0
2013,1735,16.0
2014,1761,16.0
2015,1824,16.0
2016,1858,16.0
2017,1907,16.0
2018,1953,16.0
2019,1996,16.0
2020,2023,16.0
2021,2061,16.0
2009,284,17.0
2010,296,17.0
2011,294,17.0
2012,295,17.0
2013,301,17.0
2014,308,17.0
2015,304,17.0
2016,295,17.0
2017,294,17.0
2018,292,17.0
2019,303,17.0
2020,312,17.0
2021,305,17.0
2009,507,18.0
2010,504,18.0
2011,515,18.0
2012,513,18.0
2013,524,18.0
2014,538,18.0
2015,543,18.0
2016,559,18.0
2017,571,18.0
2018,573,18.0
2019,588,18.0
2020,612,18.0
2021,628,18.0
2009,837,19.0
2010,848,19.0
2011,867,19.0
2012,891,19.0
2013,904,19.0
2014,934,19.0
2015,946,19.0
2016,978,19.0
2017,975,19.0
2018,1015,19.0
2019,1048,19.0
2020,1055,19.0
2021,1091,19.0
