Year,Value
2019,450.0
2018,469.0
2017,493.0
2016,497.0
2015,494.0
2014,479.0
2013,469.0
2012,460.0
2011,495.0
2010,462.0
2009,458.0
2021,800180.0
2020,801545.0
2019,795736.0
2018,798538.0
2017,792086.0
2016,791632.0
2015,787266.0
2014,787301.0
2013,794228.0
2012,799188.0
2011,800469.0
2010,810444.0
2009,815440.0
2020,800862.5
2019,798640.5
2018,797137.0
2017,795312.0
2016,791859.0
2015,789449.0
2014,787283.5
2013,790764.5
2012,796708.0
2011,799828.5
2010,805456.5
2009,812942.0
2019,56.35
2018,58.84
2017,61.99
2016,62.76
2015,62.58
2014,60.84
2013,59.31
2012,57.74
2011,61.89
2010,57.36
2009,56.34
