Year,Value,GeoCode
2009,14.54,
2010,14.08,
2011,13.84,
2012,12.32,
2013,11.46,
2014,10.75,
2015,12.98,
2016,9.94,
2017,11.57,
2018,10.27,
2019,11.69,
2020,12.86,
2021,12.98,
2009,11.36,1.0
2010,13.11,1.0
2011,12.07,1.0
2012,11.43,1.0
2013,10.25,1.0
2014,9.42,1.0
2015,11.89,1.0
2016,8.84,1.0
2017,11.31,1.0
2018,8.85,1.0
2019,10.68,1.0
2020,11.19,1.0
2021,10.41,1.0
2009,11.67,2.0
2010,12.02,2.0
2011,13.66,2.0
2012,12.03,2.0
2013,11.68,2.0
2014,10.27,2.0
2015,12.63,2.0
2016,9.77,2.0
2017,10.75,2.0
2018,8.81,2.0
2019,10.47,2.0
2020,11.55,2.0
2021,12.15,2.0
2009,13.62,3.0
2010,14.52,3.0
2011,14.46,3.0
2012,11.76,3.0
2013,11.4,3.0
2014,11.24,3.0
2015,14.04,3.0
2016,10.94,3.0
2017,11.82,3.0
2018,11.0,3.0
2019,12.91,3.0
2020,15.45,3.0
2021,14.99,3.0
2009,14.45,4.0
2010,14.13,4.0
2011,13.67,4.0
2012,12.73,4.0
2013,12.84,4.0
2014,12.11,4.0
2015,15.41,4.0
2016,10.22,4.0
2017,12.47,4.0
2018,10.2,4.0
2019,10.91,4.0
2020,13.72,4.0
2021,13.46,4.0
2009,13.84,5.0
2010,14.04,5.0
2011,13.95,5.0
2012,13.29,5.0
2013,12.8,5.0
2014,12.09,5.0
2015,16.07,5.0
2016,12.2,5.0
2017,13.19,5.0
2018,12.22,5.0
2019,13.52,5.0
2020,15.68,5.0
2021,16.11,5.0
2009,10.24,6.0
2010,10.13,6.0
2011,10.86,6.0
2012,9.88,6.0
2013,10.71,6.0
2014,10.39,6.0
2015,13.75,6.0
2016,7.8,6.0
2017,9.72,6.0
2018,8.08,6.0
2019,9.65,6.0
2020,11.25,6.0
2021,11.7,6.0
2009,14.76,7.0
2010,14.32,7.0
2011,14.75,7.0
2012,11.07,7.0
2013,10.76,7.0
2014,12.25,7.0
2015,13.54,7.0
2016,11.31,7.0
2017,14.09,7.0
2018,12.3,7.0
2019,12.78,7.0
2020,13.9,7.0
2021,14.8,7.0
2009,16.66,8.0
2010,17.0,8.0
2011,16.18,8.0
2012,13.3,8.0
2013,12.1,8.0
2014,11.27,8.0
2015,13.82,8.0
2016,10.84,8.0
2017,11.32,8.0
2018,9.69,8.0
2019,13.4,8.0
2020,14.74,8.0
2021,13.83,8.0
2009,18.01,9.0
2010,16.46,9.0
2011,16.13,9.0
2012,13.86,9.0
2013,11.47,9.0
2014,11.24,9.0
2015,12.66,9.0
2016,9.32,9.0
2017,12.59,9.0
2018,12.46,9.0
2019,13.7,9.0
2020,15.13,9.0
2021,15.87,9.0
2009,15.62,10.0
2010,14.95,10.0
2011,14.34,10.0
2012,13.21,10.0
2013,11.11,10.0
2014,10.97,10.0
2015,12.73,10.0
2016,10.45,10.0
2017,12.66,10.0
2018,11.17,10.0
2019,12.96,10.0
2020,12.02,10.0
2021,13.02,10.0
2009,12.95,11.0
2010,11.41,11.0
2011,10.96,11.0
2012,9.24,11.0
2013,7.65,11.0
2014,6.57,11.0
2015,8.01,11.0
2016,7.22,11.0
2017,7.68,11.0
2018,7.55,11.0
2019,8.64,11.0
2020,8.52,11.0
2021,7.91,11.0
2009,12.72,12.0
2010,12.07,12.0
2011,12.1,12.0
2012,10.55,12.0
2013,9.83,12.0
2014,8.42,12.0
2015,10.85,12.0
2016,7.48,12.0
2017,10.34,12.0
2018,8.18,12.0
2019,10.23,12.0
2020,10.94,12.0
2021,11.55,12.0
2009,14.25,13.0
2010,13.37,13.0
2011,13.72,13.0
2012,13.27,13.0
2013,12.15,13.0
2014,10.37,13.0
2015,12.72,13.0
2016,10.35,13.0
2017,9.93,13.0
2018,9.47,13.0
2019,9.09,13.0
2020,12.37,13.0
2021,12.14,13.0
2009,15.09,14.0
2010,15.83,14.0
2011,14.91,14.0
2012,15.08,14.0
2013,13.77,14.0
2014,10.85,14.0
2015,13.3,14.0
2016,8.63,14.0
2017,11.42,14.0
2018,11.17,14.0
2019,13.32,14.0
2020,13.2,14.0
2021,15.94,14.0
2009,17.06,15.0
2010,16.48,15.0
2011,15.27,15.0
2012,14.47,15.0
2013,13.15,15.0
2014,12.08,15.0
2015,13.57,15.0
2016,11.24,15.0
2017,11.4,15.0
2018,11.41,15.0
2019,11.79,15.0
2020,13.69,15.0
2021,13.45,15.0
2009,18.36,16.0
2010,15.85,16.0
2011,14.79,16.0
2012,14.57,16.0
2013,15.24,16.0
2014,13.69,16.0
2015,15.45,16.0
2016,11.83,16.0
2017,13.83,16.0
2018,11.85,16.0
2019,13.2,16.0
2020,14.34,16.0
2021,12.86,16.0
2009,3.73,17.0
2010,8.3,17.0
2011,9.36,17.0
2012,6.14,17.0
2013,6.18,17.0
2014,5.25,17.0
2015,5.37,17.0
2016,3.61,17.0
2017,5.15,17.0
2018,5.62,17.0
2019,2.73,17.0
2020,1.39,17.0
2021,3.61,17.0
2009,17.06,18.0
2010,13.86,18.0
2011,15.99,18.0
2012,14.47,18.0
2013,11.82,18.0
2014,12.49,18.0
2015,13.59,18.0
2016,13.05,18.0
2017,14.27,18.0
2018,11.23,18.0
2019,13.62,18.0
2020,14.91,18.0
2021,17.26,18.0
2009,12.13,19.0
2010,12.37,19.0
2011,11.29,19.0
2012,9.58,19.0
2013,9.44,19.0
2014,10.45,19.0
2015,13.4,19.0
2016,9.35,19.0
2017,11.24,19.0
2018,9.43,19.0
2019,9.26,19.0
2020,9.92,19.0
2021,8.01,19.0
